text,Preprocessed_text,Clustered
Atrocious amateur app. Is this really the best we can do?,atrocious amateur app good ,2
This service is verry bad service. When the trip is short drivers are not getting the trip,service bad trip short get ,2
Good,good ,2
Very Good App,good app ,2
Grt,,
Nice driving by pickme....,nice driving ,2
Good service,good service ,2
Good application..,good application ,2
So useful,useful ,2
The application is extreamly slow for PickMe foods. I actually went to the collection and brought the food before the app moved to the card page. You guys need to step your game up.....,application slow actually go collection bring food app card page need step game ,0
Good,good ,2
good service,good service ,2
This app is the best app forever,app good forever ,2
Movie,movie ,2
Drivers are freindlyand vehicles are good,good ,2
I havent experience .but that app is unfriendly.i dont like,not experience app unfriendly like ,2
Good,good ,2
good,good ,2
This app isn't useful at all...The new update is worser.... :-( Btw thanks for the rides I already went!!,app useful new update worser thank go ,2
"Terrible app with worste customer service. Not taking responsibility on their bugs, asking drivers to contact the customers directly. Completed a trip and paid the amount next day after 8 hours, pickme emailing a nother reciept for a higher amount under same reciept number. Driver demands to pay the balance. No response from the company after several complaints (twice over the phone, via app and e-mail) Wasting cx time and risking privacy.",terrible app customer service not take responsibility contact directly trip day nother high number driver pay balance no response company twice phone mail waste time privacy ,0
Good,good ,2
Best ****************************,best ,2
A reality,reality ,2
Excellent,excellent ,2
Superb,superb ,2
CANT DOWNLOAD ?,not ,0
Attidiya,,
Super,super ,2
Excellent,excellent ,2
Could include up and down destination option,include destination option ,0
Good,good ,2
Very poor service,poor service ,2
great!,great ,2
Very Good,good ,2
Great,great ,2
This is a fuxxed up app.,app ,2
Good,good ,2
Good,good ,2
It asks us to update when we're trying to book and won't let us book a ride without updating. Please fix this,update try book let ride fix ,1
Customer service is non existent. Safety is minimum! Some tuk drivers can also be really rude. The app is a failure,customer service non existent safety minimum rude app failure ,0
Good,good ,2
Good,good ,2
because of the promo,,
Good,good ,2
"Great app, but there are always no drivers when it's raining.",great app ,2
"Extremely poor customer support. Lodged a complaint days ago via email. Twice today via phone and still they haven't resolved the matter. Kept on saying that they will ""forward the details to the relevant department"".",extremely poor customer support lodge complaint day ago twice today phone resolve matter keep say forward relevant department ,0
No support or reply to a customer regarding a complaint. Worst customer service. In a time automaticaly complaint gets closed,no support reply customer complaint bad service time close ,0
"pick me new driver app is worst.. taking long time to get final fare. previous shown properly every seconds updated fare. i think something wrong in updated version. i want to know, is pick me trying to add any hidden charges?",pick new driver app worst take long time final fare previous show properly think wrong version want know try add hide ,0
Use full app and fully safe . good tnx pickme,use app fully safe good ,2
I never use the pickme . This is my first time.,use time ,2
Very poor service,poor service ,2
Grateful service,grateful service ,2
At the start PickMe was great but now the drivers seem to ignore you on your pickup location and go ahead to your destination and charge you for a trip you didn't take. I've had this experience on 2 occasions and I didn't receive a response for my complaints from PickMe at all. Obviously the way you treat your customers is absolutely poor and this is why I'm giving a 1 star rating and really wish I could give no rating at all because your service and response is hopeless.,start great ignore pickup location ahead destination charge trip experience receive response obviously way treat absolutely poor give star rating wish service hopeless ,2
I have been using pickme since the day one but sometimes they charge you for wrong distances and customer service officers does absolutely nothing about your complaints.,day charge wrong customer service absolutely ,0
Awesome,awesome ,2
Good,good ,2
ok,,
Good,good ,2
Very nice thank you,nice thank ,2
Good,good ,2
One of the most convenient mode of transport..,convenient mode transport ,2
No experience,no experience ,2
Used to work ok.New app version showed no vehicles available,work new app version available ,0
Good,good ,2
Best,best ,2
Best app for ride hailing 🤩,best app ride star strike ,2
some things went wrong by given mobile number. it number seems to UK cord number. Please can you correct it,go wrong give mobile number cord correct ,0
"Awful app. Shows the cars come up, says it's available and gives a price. Go to book it and nothing happens and cant find a car. Also attempted to do a pre booking and I got a confirmation of the booking. 30 minutes before the expected pick up time (the next day), we got a call to say no cars were available. They said that the request was confirmed, but not the car and there wasnt one. Which is ridiculous and not helpful. Either its confirmed or it's not!! Then we were left stranded and no taxi.",awful app come available price book not find car get confirmation pick time day say request confirm ridiculous helpful leave taxi ,0
I Really happy about this app thank you pickme,happy app thank ,2
"Best app ever, better than uber",good app better ,2
Good,good ,2
Cc,,
Very good,good ,2
"Worst , when ever I try this app always it shows all the driver near you are busy, useless.",bad try app driver near busy useless ,2
Great,great ,2
Good,good ,2
So far has been satisfactory. Expect same in future toi.,far satisfactory expect future toi ,2
Ali.,,
Good,good ,2
"Do the drivers know if the customers add a promo code? If yes,what I want to say is that your service is very poor. Bcz none of them accept the ride. If i remove the promo code they accept the ride.",know add code yes want service poor accept ride remove ,0
This is useful app for our travelling,useful app ,2
Good,good ,2
"I have been using Pick me cabs over 3 years. They were very punctual and helpful. Since of late I find they are not providing a good service and always put us in a difficult situation saying ""no cabs available at the moment"". Very disappointing and disgusting.",pick punctual helpful late find provide good service difficult situation say available moment disappointing disgusting ,1
"I use PickMe app ofently both in Colombo & Gampaha which is my hometown. But I must say the location update of the app is very slow and it sometimes shiw wrong time estimations which caused lot of trouble for the driver as well as me. Sometimes the app shows the driver is going passing the pickup location, so I call him and say the way he is going is wrong. But infact he has comes the right way and the app has shown some wrong infor which is very inconveninet and lead to waste of time",use app location update slow wrong time lot trouble driver go pass pickup way come right show lead waste ,0
Qwerrtyuio 😤😥😧😨😴😢😡😬😕😑😑😆😁😉😈😯😐☺😊😊😀😉😄😄😴😆😅😅😮 .NHC,face steam nose sad relieved anguish fearful sleep cry pouting grimace confused expressionless grin squinting beaming smile eye wink horn hush neutral sweat grinning open mouth ,2
Im using pick me to take hires not to update the app while on the road. Kinda worst service I hv ever seen,pick update app road bad service see ,0
This app is very important to travel thank you very much pick me,app important travel thank pick ,2
Usefully,usefully ,2
Better to close this app ... wasting our time to find their drivers .. very hard to get any cars . Bad expi... we thought its usefull but no more,better close app waste time find hard bad thought ,0
Worst app ever,worst app ,2
The app works fine when booking a vehicle but the app does not respond when trying to order food,app work fine book vehicle respond try order food ,0
"Terrible very bad lost my 1800$ and my credit card i go shop buy something my hand bag in the car. Driver take my money, but not give him i complain police station colombo. Then he give me but lost my money my last day in sri lanka, i need to go airport i no take action very bad pick me careful for every one",terrible bad lost credit card shop buy hand bag car driver money complain police station lose day sri need airport action pick careful ,2
Okay,,
Hi team dont ever use this F*** app since it was a fraud i had 3 bad expireinces with 2 with Pickme TUK and one today with pickme food please contact me if you feel like im liening since this F*** app was misleading people,hi team not use app fraud bad today food contact feel like mislead people ,2
I cannot download the app,app ,0
I have saved my card on this app. One day I noticed that when I'm not using the app for a ride it charges from my card and I even receive a text from the bank. Happened to me couple of times so I blocked the card from the bank. Then called their customer service regarding the issue. Twice I called both times they asked me to send emails. A lady called one day saying shes the manager and again requested me to drop a mail with screenshot. Until today no reply .,save card app day ride receive text bank couple time block customer service issue twice send lady say manager drop mail today reply ,0
Very useful,useful ,2
Best,best ,2
Search result not available for in food section....useless,search result available food section useless ,2
Ooooo huh,huh ,2
Some drivers have been cheating,cheating ,2
The drivers of Pickme is very uncultured people who talks filth to women,uncultured people filth ,2
Good,good ,2
Kottawa,,
Can't turn off promotion notifications.,turn promotion ,0
Terrible lousy service.,terrible lousy service ,2
Interface is really bad there r so many bugs n the programe technical issues r happening frequently so please fix this asap,interface bad technical happen frequently fix ,0
Good,good ,2
Bad service,bad service ,2
Nice and easy to use.,nice easy use ,2
👍,thumbs ,2
Good service.,good service ,2
This is the worst app that i ever used. Getting struck most of the time when raining. Pic me food is the worst.,bad app get strike time pic food ,2
Very good,good ,2
Very fast,fast ,2
muhad,,
Every day,day ,2
Worse app and service. Even they don't response to the complaints,bad app service response ,2
Very worst app for food delivery. Always they deliver something that we don't order. Today i ordered a promotion of two crispy chicken with burger at kfc but what i got is only one chicken.there's no any options to make complaint. Worst app for food.,bad app food delivery deliver order today promotion crispy chicken get complaint ,0
Very convenient,convenient ,2
Not now,not ,2
Good,good ,2
HS,,
It has lots of errors on android,lot android ,0
Patta,patta ,2
Good,good ,2
Very good service by pickMe,good service ,2
Most Drivers find it difficult to find the location.,find difficult location ,0
Very needful,needful ,2
Good,good ,2
Good,good ,2
Good,good ,2
Very good,good ,2
i will update later as i need to free up space. until then keep the older version?,update later need free space old version ,1
Even though promotional notifications are disabled still reciveing them.,promotional disable ,0
Always cancels my rides,cancels ride,0
👍 Very very super,thumb super ,2
Bad service sometimes,bad service ,2
Rukmale,,
fantastic,fantastic ,2
Very good app,good app ,2
Can not set a password on pickme app statup.,set password app ,0
"Poor customer service. Charged me for a delivery which was never delivered and it was never refunded. I wonder out of how many customers they steal in this manner. Customer service hasn't done anything yet. Update: so far I have spoken to one Arthif, Mohamed Fazloom and Nathaniel Joseph and none of them have done anything although they have promised to make the refund and send a formal email apologising for the inconvenience.",poor customer service delivery wonder steal manner update far speak refund send formal inconvenience ,0
Hodai,,
Nices,,
Good,good ,2
Good passenger service,good passenger service ,2
Pissu hadenawa oiii Mn gedra uyana ewa kanneth na pickme food witharai,na food ,2
"Fast moving and best services, all the best pick me team",fast move best good pick team ,2
Good,good ,2
Great service,great service ,2
The app gets stuck all the time! And it affects the riders in their day to day activities. It also doesn't help in tracking the driver. Please fix these,app stick time day help driver fix ,0
Useless,useless ,2
ok very good,good ,2
Good,good ,2
Good,good ,2
😀,grin face ,2
High price than uber,high price ,2
Very use full app in srilanka government,use app government ,2
Good app for sri lanka,good app sri ,2
All time no wheecal,time ,2
Hingana ganan walata minissu adinna welathiyenne.mun ganan adu karala bukin fee ekath gewana wela thiyenne driverlata.,mun fee ,2
awesom service,service ,2
Great,great ,2
Nice,nice ,2
good,good ,2
Afrath,,
This is very good,good ,2
Very famous app,famous app ,2
Good,good ,2
Lorry,lorry ,2
Good,good ,2
'HATA,,
Good job,good job ,2
Worst and rude drivers. Never recommended. Worst taxi service experience.,bad rude taxi service experience ,2
what a cheating app is this. ah they told it is 475rs. and 50rs discount and 425rs. but they have charged 520rs (with discount) do u think us as fool? how can you say it is for traffic charges. there is not even much traffic. such a disgusting app. always charge extram cheaters. I'm uninstalling the app and will spread this to all my friends,cheat app ah tell rs discount think fool traffic disgusting charge spread ,0
the prices are inaccurate,inaccurate ,2
❤,red heart ,2
Supiri,,
Cannot use the app. Because unfortunately app has stoped. latest version is very bad.,use app unfortunately late version bad ,0
Good,good ,2
"Pick me food is very good and less expensive but drivers find hard to find the delivery address, need some improvement in finding location.",pick food good expensive find hard delivery address need improvement finding location ,0
"Not safe for girls, the drivers whoever seen any girl and they know that girl call her number and they save that and gives their friends and calling disturbing that girl. If you complain no action from pick me. Company only for money drivers only for sexual harasment.",not safe see girl know number save call disturb complain action pick company money sexual ,2
Please I won't go horaisans coolej I need car,need car ,2
Fine,fine ,2
Super,super ,2
Good,good ,2
Nice. Bt new drop and pickup UIs on the map cover the live vehicles sometimes. Please fix it. Those UIs sizes must change with the zoom level. Or make them transparent.,nice new drop pickup map cover live fix size change zoom level transparent ,0
The r1&^646mkta^gutter %6222222222221,mkta gutter ,2
Oi thopige points redda mokadda gon keri ponnayo? App eka restat wenawa points payment eka click karapuwama. Mokadda huththige putho ara ubalage service email eka . Ubala balanne nedda gon wesige puthala. Email check krapan wal ballo rela. Ubala wage kalakanni wesige puthala nodakin ponna ballala.,gon app payment click ara service check wage ,2
Pli,,
Good,good ,2
Good,good ,2
Good,good ,2
Useful app... long way to go. Keep it up!!!,useful app long way ,2
Stuck at most time,stuck time ,0
Good n safty,good ,2
Good,good ,2
Good,good ,2
Good app,good app ,2
Pick me is one of the best apps which ease our transport and saves our time.Reasonable prices and disciplined drivers have made this the number one,pick good ease transport time reasonable number ,2
good,good ,2
Its good for travelling somewhere in sri lanka,good sri ,2
Good,good ,2
Good service,good service ,2
"Promotion is just lying after you really getting 1st or 2nd promotion. I normally use pick me to one location to the same location. The initial value shown to me as my fee is approximately equal.But today, the fee I have to pay shows up with the added pramotion fee.Just looking at my extra phone, it showed me the value I showed the other day. That's the biggest lie.1st day I got 50 as promotion. Don't be foolish about every promotions pick me sending us.",promotion lie get st nd normally use pick location initial value show fee approximately equal today pay add look extra phone day big don foolish send ,0
Search bar is not working in the food delivery. Impossible to find a relevant restaurant,search bar work food delivery impossible find relevant restaurant ,0
Supperr..keep it up,,
Good app,good app ,2
"U r g, , loL ;-)the r ho omg h",ho ,2
Wow,wow ,2
uber is better,better ,2
"in an emegency we cannot download updates.. when uhpdat available, there should be option to install it later...",available option install later ,1
Good,good ,2
Wow i love it,wow love ,2
Later,later ,2
Good,good ,2
good,good ,2
Excellent,excellent ,2
good usefull appp,good ,2
Really it's useful..,useful ,2
Good,good ,2
Very useful for daily life,useful daily life ,2
When we near to pick up customer map was disappearing within 50meters before. So we need to contact to customer for exact location. Our mobile expenditure is high.,near pick customer map disappearing meter need contact exact location mobile expenditure high ,0
Cheap service,cheap service ,2
Suprb,,
Good,good ,2
"Very Unreliable, drivers accept the ride only to cancel 10 minutes later. This has happened to me on numerous occasions and its really frustrating to the passenger. You'd have a safer bet sticking to road tuks. @PickMe please speak to your drivers about the right etiquette and respect towards your customer's time.",unreliable accept ride cancel later numerous passenger bet stick road speak right etiquette respect customer time ,0
"Best food delivary app , riders are also friendly and you have many restaurants to select",good food app friendly select ,2
clock travel,clock travel ,2
Good,good ,2
Cannot contact driver when needed. Location is wrong,contact driver location wrong ,0
Realy its helpfull for our day to day needs,day need ,2
Pickme,,
Moratuwa,,
Exellent service,service ,2
I ko no xig,ko ,2
Very good,good ,2
Bòok a tuktyk,,
Good,good ,2
Good,good ,2
"When drivers use navigation feature, tuk tuk driver also view the direction via express ways. Estimated cost details are wrong.",use navigation feature driver view direction express way cost wrong ,0
👍👍👍🤗,thumbs thumb hug face ,2
Ns,,
Good,good ,2
Verry friendly customer,friendly customer ,2
We can not erase essential down loads every time you upgrade the app. What we simply required is to hire a taxi to travel. Please consider the difficulty of people who can not change the phones every time you do your updates.,erase essential time upgrade app simply hire taxi travel consider difficulty people change ,1
App crashes every time I try to book a ride. Have uninstalled and reinstalled but still crashes.,app time try book ride uninstalle ,0
Effecient,,
After recent updates app is lagging now. It seems app is getting bulky with too much features. Wish there is a lite version that just do the primary job.,recent app lag get bulky wish lite version primary job ,0
Yr,yr ,2
Good,good ,2
very cheap devired fee,cheap fee ,2
",i want this app",want app ,2
Good,good ,2
Ok,,
"worst service Excellency everc.birthday,",bad service excellency birthday ,2
Comfortable travelling,comfortable ,2
Nice,nice ,2
very difficult to get connected at peak times,difficult connected peak time ,2
It's good 👍👍👍👍,good thumb ,2
Good taxi app..useful app..good job pickme,good taxi app useful job ,2
Good. Some riders behavior is bad,good behavior bad ,2
Very useful,useful ,2
Too much of updates. Since I can't excess to the app what the time I needed,excess app time ,2
Easy to access,easy access ,2
"Actually u all doing well,,keep it up",actually ,2
66 ta passe provided the assist for the goal 3 3minutes from ONE of the day Machan Prestige payment eka collect be xs,ta passe provide assist goal minute day machan prestige payment collect ,2
Super,super ,2
This app is usefull,app ,2
Good,good ,2
Good,good ,2
Good,good ,2
It's safe & easy & also the drivers speak more politely,safe easy speak politely ,2
Actually this app is very important and good,actually app important good ,2
ඉතා හොද සේවාවක් ලාභදායි.නව ක්‍රම සහ නව අදහස් ඵකතු කර ප්‍රවාහන සේවාව තවත් ඉදිරියට ගෙන එන්න.දුමිරිය කටයුතු වලටත් ඔබලගෙ දායකත්වය ලබා දීමට ක්‍රම සකස් කරන්න....සහ ගුවන් ගමන්..,,
Good,good ,2
excellent service. the best in sri lanka,excellent service good sri ,2
Ok,,
Why pick me can not be used without giving an update? In a urgent situation if this happens??? There should be a option to skip the update. Just a though. Because this actually did happen to me.,pick give update urgent situation option skip actually happen ,1
Super,super ,2
Good,good ,2
sometines not working,work ,2
Ok,,
Every time update this app,time update app ,1
Good,good ,2
Good,good ,2
Excellent,excellent ,2
No wait in vain on the road always near with us,no wait vain road near ,2
Good,good ,2
Super,super ,2
Good service,good service ,2
Best,best ,2
Tttt,,
Good service,good service ,2
If,,
Best service,good service ,2
Pick me is good app☺👍👍,pick good app smile face thumb ,2
Drivers dont know to use app..,not know use app ,2
Good,good ,2
Good,good ,2
Not enough drivers,not ,2
Good,good ,2
Good,good ,2
Good,good ,2
Typing is stukking,,
Worst update ever. Poor search capabilities. map is also not usable.,bad update poor search map usable ,0
Good,good ,2
Good,good ,2
Good,good ,2
Fine,fine ,2
Good,good ,2
Very Good,good ,2
Good app. Can i know why pick me charges increased from Rs 70 to Rs100?,good app know pick ,2
Great,great ,2
good app,good app ,2
Verry Good..,good ,2
Very good service,good service ,2
Good transport service.,good transport service ,2
Always updates,,
Excellent service,excellent service ,2
Taxi,taxi ,2
Nice drive,nice drive ,2
"Good service, accurate, courteous drivers",good service accurate courteous ,2
Good,good ,2
Very good,good ,2
Superb,superb ,2
Verry good scarves,good ,2
Wonderful experience in travelling with the app,wonderful experience app ,2
Stupid updates which blocks the use,stupid use ,2
Superb,superb ,2
Baf,,
"Everythings quit good but i don't understand this waiting charge, even when the vechicle goes little slower it automatically changes in to waiting, because of this some times the fare is higher",quit good understand wait charge go little automatically time fare high ,0
Good..,good ,2
It's helpful,helpful ,2
Great,great ,2
Good service,good service ,2
Ada pickme 3 denekuta damma 3 denagen ekek wath awe na. Winadi 15k withara idala 3 denama cancel kala. Danna 3weel eke yana eka hodai mita wada. Wayasaka unwa owata register kara gannath epa un 4n eka use karannawath danne na service eka nm zero. App ekath uninstrall karala damma 😠,wath awe na cancel kala weel eke register un use service app angry face ,2
Good,good ,2
Good. Thanks,good thank ,2
Good,good ,2
Good,good ,2
Definitely beter than uber,definitely ,2
Good,good ,2
The prices are bit high,bit high ,2
Good,good ,2
Its osem,,
When typing its slow,slow ,2
Needs improvement.,need improvement ,1
Good,good ,2
Everything us in a pickme jam,jam ,2
F**king app i hate it,king app hate ,2
This app is good,app good ,2
Good,good ,2
Good,good ,2
Excellent and Convenience Service App,excellent convenience service app ,2
Good,good ,2
Very use full app,use app ,2
Pick me. Driver app can't install to my android phone,pick driver app install android phone ,0
Pick me is the best transport service,pick good transport service ,2
Best,best ,2
User friendly,user friendly ,2
"The app is really useful. But it get stuck always. Sometimes when I order food, a message pops up saying unable to find job. It would be really great if you fix these bugs",app useful stick order food message say unable find job great fix ,0
Booked a ride by car to Merissa 4 hours in advance. 3 minutes before the start it was canceled without a proper reason.,book ride car advance start proper reason ,0
Good,good ,2
Good,good ,2
Nice,nice ,2
There are no vehicles in the morning. Never get promotions.,morning ,2
why do you have to update so often. now my app is not working. I used pick me always but now can't get it working. keep it simple and easy for elderly to use.,update app work pick simple easy elderly use ,1
fine,fine ,2
Good,good ,2
"What the f** dude, when i mark a distance 1.02 km the fare is 105.00 , where is your rate ??? Just now uninstalled the app,get lost",dude mark distance fare rate uninstalle app lose ,0
Gud service,gud service ,2
Gudd,,
I like you,like ,2
Super helpful app,super helpful app ,2
Good,good ,2
Tanks for low price travel,low price travel ,2
Ccv,,
You can't get the driver's number. It's hard to directly contact the driver immediately after a valuable of yours is lost. You'll only know his name and number plate. So it's identical to calling out a taxi in the streets of Sri Lanka. Nothing special.,driver number hard directly contact immediately valuable lose know plate identical call taxi street sri special ,0
Nice app,nice app ,2
It is good,good ,2
Good,good ,2
👍,thumbs ,2
best app!,best app ,2
Nice trip,nice trip ,2
It's good app but sometimes drivers are not coming on time,good app come time ,2
Good app for rides in sri lanka.,good app sri ,2
"First of all make sure you guys hire decent drivers, second dont give me a notification that there are no drivers when a damn driver is already on the way because we end up using another app and this driver keeps calling us to scold us in filth what the hell",sure hire decent second not notification damn driver way end app call scold filth hell ,1
Good behaviour,good behaviour ,2
Good,good ,2
Excellent,excellent ,2
So many bugs. Fix your 'favorites' related bugs,fix relate ,0
"I like this app. But I tried to apply the promo codes to my rides. It shows as applied, but the price was same. Does not reduce the amount.",like app try apply price reduce ,2
Awesome,awesome ,2
Slowww,,
Good,good ,2
Good,good ,2
Okay,,
"very useful app , we use it frequently for both food and travel.",useful app use frequently food travel ,2
Customer service officers dont konw how to operate app,customer service not operate app ,2
T hilda,,
Good spea,good ,2
"Taxis are very quick. The map is not better than uber. Allways drivers call to confirm the pick up location which is a trouble. The map is not accurate, even when the driver is near by it shows that he is far away.",taxis quick map well confirm pick location trouble accurate driver near far away ,0
👍,thumbs ,2
👍,thumbs ,2
Good service,good service ,2
Just a waste of time. The app crashes every single time and the trip details disappears,waste time app single trip ,0
Great,great ,2
Forced update not Acceptable,force update acceptable ,0
Excellent,excellent ,2
Worst app . Nowadays.after the upgrade to new view. Never user friendly.,worst app nowadays upgrade new view user friendly ,2
Great,great ,2
Good app,good app ,2
Excellent economical App.,excellent economical app ,2
This app is best app,app good ,2
Poor delivery,poor delivery ,2
Very useful,useful ,2
good,good ,2
Good application,good application ,2
Great !!!,great ,2
Great mostly,great ,2
It very easy,easy ,2
very helpful,helpful ,2
A good app,good app ,2
Superp,,
Pickme,,
Qb,,
Actually when we wanted to rent a taxi in traffic time they tell all the drivers in my area are busy !!,actually rent taxi traffic time tell area busy ,0
Excellent,excellent ,2
Good,good ,2
Innovative,innovative ,2
Bad app,bad app ,2
Easy to use,easy use ,2
I like it,like ,2
"Cannot apply promo code, an error message displays as ""Validation Error""",apply code error message validation ,0
Uber eats ekata wada ganan wadii enisa only 2 stars,eats ,2
Woooooooooooo😙😙😙😙😙😊😊😊😊😊😉😉😉😉😍😍😍,kiss face smile eye wink heart ,2
Good,good ,2
Good.,good ,2
👌👌 good app 100%,ok hand good app ,2
Thks you soo app,app ,2
Amazing convenience!,amazing convenience ,2
Good,good ,2
This app is not wrking properly,app properly ,2
My address is not been captured properly on the pick me app. The driver always goes & parks the vehicle at a location behind my house where I do not have any access as there's a parapet wall. It causrs much inconvenient to me.,address properly pick app driver go vehicle location house access parapet wall inconvenient ,0
Unfare charges. Normal taxi cost Rs.70 but pickme cost Rs.135,normal taxi cost ,2
One of the worst app. And very poor service.,bad app poor service ,2
Thinking both Driver and passenger.,think driver passenger ,2
Very effective,effective ,2
Perfect,perfect ,2
"This app is badly designed. PickMe charges by distance, but the app doesn't show the running total. Hence there are unexpected extra charges when traffic is dense. The app's ""Set Location on Map"" is a disaster, it deletes the location that's already entered. Their competition's app in contrast is simple to use.",app badly design distance run total unexpected extra traffic dense set location map disaster competition contrast simple use ,1
Good,good ,2
Good travail partner,good travail partner ,2
Good,good ,2
pick me out sin.. ... pf ce this morning,pick sin ce morning ,2
හොරු .... පැය 1ක trip එක්කට පැට 2 කක wating එකතු කර්ලා .complain කරත් අද වෙන්කන් උත්තරක් නැ. පැය 48කින් උත්තර දෙනවා කීවට මෙයාලට සති දෙකක් යනකන් තාමත් පැය 48ක් ගිහිල්ලා නැ. මෙහෙම කී දෙනෙක්ට වෙනවා ඇතිද? සමහරු නම් දන්නෙත් නැ උනාට. හොරු...මාස 5 ක් තාමත් මුන්ට පැට 48ක් ගිහිලා නැ,trip complain ,2
The best taxi service in Sri Lanka.,good taxi service sri ,2
Worst service ever i met..,bad service meet ,2
"In the 'book later' option, I can't select the proper 'pick up' location",book later option select proper pick location ,0
Really bad,bad ,2
Best thing♡,best thing ,2
Cant use old account it says passenger already exists,not use old account passenger ,0
When I enter my email address keeps saying passenger already exists :-/,enter address say passenger ,0
good and speed drivers,good speed ,2
"I am planning to visit Sri Lanka. Installed the app just now but am unable to register. OTP took 5 attempts to arrive and now after punching the correct OTP, user name, email ID, the message is ""Passenger already exists."" How is it possible???",visit sri app unable register take arrive punching correct user would message passenger possible ,0
"Very helpful, it saves our time",helpful time ,2
excellent,excellent ,2
මම pickme tuk රියදුරු කෙනෙක් ගිනිගත්හේන,,
very good service,good service ,2
nice,nice ,2
Stuck my phone also Very slow application . Not user friendly,stuck phone slow application not user friendly ,0
All pick me food shops disappeard after the current update? WTH?,pick food current update ,2
Good,good ,2
तयलंओडबलथंऔचडृढषवलह।हबभ। ददःअःअःफशव। फ। हससषषषष। सससससससससस। स। स षषषषषष। शवववलललव व। शश। व। लबशिशु। सहसचिव। ऋबठधबबर,,
Used to get promo codes but now rarely get a one otherwise good service,rarely good service ,2
Van Hair timex gamand,van hair ,2
Excellent,excellent ,2
Best,best ,2
Subpar but passable,passable ,2
Gooood,,
"Everytime I open the app and try to order food, the app goes back to the home page",open app try order food go home page ,0
Good,good ,2
Good app,good app ,2
Not recommend any driver of pickme. Please use another app for your safety. Thankyou.,not recommend driver use app safety ,2
Good,good ,2
Very good,good ,2
Great,great ,2
Mama taxsi wada karanne kohomada oyalata join wenne kagalle,join ,2
Lunawa,,
Horrible. Do not order food from this app .drivers confirm it as delivered but the food doesn't arrive .they just do as they please .this has happened multiple times .I keep lodging complaints but the management doesn't take any action or contact me or provide any kind of compensation either .shouldn't mess with someone's meal like that.because you cause a great deal of inconvenience and delay peoples schedules.very unprofessional drivers they hire .and the management doesnt care either. Verypoor,horrible order food app confirm arrive multiple time lodge management action contact provide kind compensation mess meal like cause great deal inconvenience delay unprofessional hire not care ,0
Good,good ,2
Good,good ,2
Please add dark theme 😍,add dark theme smile face heart ,1
V good service,good service ,2
it is very good,good ,2
Please add Round trip option to the app,add round trip option app ,1
Well its just wonderful,wonderful ,2
Order marked as delivered but never came in. Very disapointed.,order mark come ,0
I can't download it,cant download ,0
Mhcxgk Xk j kcjmcjc Ckcjcmcjccjkc to record your collaborators received email from your,record receive ,2
Service is good,service good ,2
Good app,good app ,2
Good,good ,2
Little better now,little well ,2
Rates are at times high.. but user friendly app,times high user friendly app ,2
It's very good,good ,2
Sexy rfj,sexy ,2
Good,good ,2
Cannot down load the app,load app ,2
Get lost pikme,lose ,2
Excellent,excellent ,2
good taxi service in srilank,good taxi service ,2
Made the life lot easier doing our daily tasks,life lot easy daily ,2
No vhicles,no vehicle,0
Good,good ,2
Fantastiv,,
It is very helpful app,helpful app ,2
"Good service, Fair Price.👍👌",good service fair price thumb ok hand ,2
please dont ask us to turn on location settings each time we open the app.,not ask turn location time open app ,1
I love it. it's much more safer,love ,2
Good,good ,2
Very worst app i have been waiting more than a hour i couldnt. Get any pickme riders in maradana so guys please dont download and waste ur time hate it,bad app wait hour not waste ur time hate ,0
Fares too high. Need to reduce charges by at least 150 rupees for every category to match other ride hailing apps.,high need reduce category match ride ,1
Good luck,good luck ,2
Gampaha to batagolla,,
Maru app eka😀😀😀😀👊,maru app grin face oncome fist ,2
හොඳම,,
Good,good ,2
Utterly disappointed about the service. It took more than two hours to deliver from KFC in marine drive to Bambalapitiya just a small order. The problem is they don't have enough delivery people to deliver the food. *shrug*,utterly disappointed service take deliver marine drive small order problem delivery people food shrug ,0
Fast arrive,fast arrive ,2
Good service,good service ,2
Fix your bloody app.. I can't order food it crashes every time!!!,fix bloody app order food time ,0
Rair,,
Good,good ,2
Best SERVICE FOR ALL PEOPLE,good service people ,2
Ààa.oo,,
Not working.i cant even go to cart.app stopped working.update is stupid.,not work cart app stop update stupid ,0
I like you.,like ,2
Giod,,
I'm very disappointed about your service,disappoint service ,2
Slow ur app,slow ur app ,0
cool,cool ,2
Good,good ,2
namaliii121,namaliii ,2
Useless service... They have to refund me money still not refunded.. Almost 1 month i complain...do not enter your credit card,useless service refund money month complain enter credit card ,0
Excellent transportation,excellent transportation ,2
Satisfied with the services and rates. ZAQRAF.,satisfied ,2
Both Pick Me taxi service and Pick Me food service are fantastic 👇 Finally pickme is in Negombo ❤️,pick taxi service food fantastic backhand index point finally red heart ,2
Dissapoited to say that when its raining the whole app doesnt work properly. No vehicles at all on rainy days.,app not work properly no rainy day ,0
Bad,bad ,2
Geri thambi,,
After the recent update the App stops midway ie when it highlights Book now. Is is bicos my phone is outdated for new version Samsung dous. Is it possible to download the old version of your App prior to Sept 30 th one.,recent update app midway ie book phone outdated new version possible old prior sept th ,0
worest app many driver are not in this service and sometimes they will give a promo free rides and drivers call and asking its free ride or payment ride...,app driver service free ride payment ,0
