text,Preprocessed_text
worst app ever,worst app 
Hate this app,hate app 
Useful app for transport i used.,useful app transport 
"Hi! Absolutely enjoyed my pick me experience. However, I forget to rate or give feedback on drivers soon after the drive. When I try to give feedback later I don't find a method to do so. Please provide a solution. That is, a method to give feedback on drivers sometime after the trip. Thanks. PickMe is great. Keep improving. :)",hi absolutely pick experience forget rate feedback soon drive try later find method provide solution trip thank great improve 
very fast app,fast app 
bad app,bad app 
Very bad service wrost app ever,bad service app 
"Nothing wrong with the app. But drivers have gone back to the habit of declining card payments, groaning if there's a promo code active and so on. Either change the way you pay your drivers or fix their attitudes",wrong app go habit card groaning code active change way pay fix 
good,good 
gud,gud 
worst app after the update. I ordered food but I didn't get any response from riders and I couldn't cancel my order also.I waited for 1 hour,bad app update order food response cancel hour 
excellent and good perfect travelling,excellent good perfect 
Worst App ever.. Malfunction most of the time!,worst app malfunction time 
Very good,good 
apcte aetw,
super,super 
goob,
very good,good 
good and safety,good safety 
"its says that the app will not open without enabling location services, while location is already enabled, app doesn't open.",app open location 
don't use this app.drivers a very bad habitats..I never use ageing,use app bad 
superb app in srilanka,superb app 
disgusting,disgusting 
worst service,bad service 
werst service i ever seen,service see 
Excellent service,excellent service 
it's not clearly work for mobile data. before the update it's worked for poor internet connection clearly. now doesn't work for mobile data,clearly work mobile datum update poor connection 
bad taxi,bad taxi 
not good,good 
unprofessional drivers mostly because of racism and facism.,unprofessional racism 
"i downloaded more than 3 times... when I book a three wheel it says ""unfortunately pick Me has stoped"" pls fix this😠",times book wheel unfortunately pick fix angry face 
App commission is too much. Bad earnings,app commission bad earning 
I'm NOT HAPPY about PICKME BECAUSE IT'S MUSLIM!!!!! I HATE IT!!!,not happy hate 
good,good 
nice user friendly app forever..,nice user friendly app forever 
uninstalled due to their bad behaviours in srilanka.please include the procedure to stop receiving promotionals msg for your reply,uninstalle bad include procedure stop reply 
"uninstalled the app due to poor conditions in app, cars, and threewhelers... bye bye pick",uninstalled app poor bye pick 
Not gonna use this anymore who are behind the terrorists 😏,not use smirk face 
very good sevice,good 
not use again,use 
Good for transportation,good transportation 
දැන් කිසිම කෙනෙක් PickMe යන්නැ..,
kapila Ruwan Rajapaksa,
Very efficient,efficient 
Drivers decide they will not pick up without cancelling or informing.,decide pick 
Good app for traveling everywhere,good app travel 
good service,good service 
Wonderful,wonderful 
bad,bad 
expensive,expensive 
මෙතුවක් ලබාදුන් සේවාවන්ට ස්තුතියි 🙏 අර Promotion මේ Promotion කියලා එවන මැසේජ් ටික නවත්තගන්නේ කොහොමද කියන්න පලුවන් නම්. 👍🤗,fold hand promotion thumb hug face 
good,good 
very darty,
useless,useless 
best app ever seen,good app see 
good app,good app 
super service,super service 
"pickme is looting Customers, fruads",
good taxi company srilanka 🇱🇰 ..100% srilanka...,good taxi company sri lanka 
muslim😂,face tear joy 
very bad app.,bad app 
uninstall to save my money,save money 
useless app.,useless app 
so far so good.,far good 
dont download this app.... download the taxime... cangaro cabs.... please help to grow sinhala cab service ..,not app help grow cab service 
Hamba business,business 
can you fix the issue where the driver cant end the meter on time cuz it gets stuck.. everything else apart from that is perfect,fix issue driver not end meter time stick apart perfect 
මුස්ලිම් පකවල්,
very good thanks,good thank 
"just removed app from my phone, all of you join me. lets protest against them.",remove app phone join protest 
Good,good 
pickme food delivery services is not working for Malabe,food delivery work 
pickme is really good but I would like an update where you get an otp from the customer and then the meter starts because every time I use this mode of transportation I have to pay a large amount and the drivers say it is the waiting charge. how can they start their even before we've got into the vehicle and started our journey? I would really appreciate if you could bring in this update soon,good like update customer meter time use mode transportation pay large wait charge start get vehicle journey appreciate bring soon 
wasting time.,waste time 
app didn't work properly also sending messages with useless discount everyday,app work properly send useless discount everyday 
good luck,good luck 
worse,bad 
driver took double charge from me rate charge is 160 rs he took 260 rs,driver take double charge rate 
very poor service,poor service 
good,good 
"v. n, dnabkaakiyto cvw,bhigvban🐶🐶🐶🏣☺☺☺☺☺☺🙂😇🙂🙂",dog face japanese post office smile slightly halo 
It is so funny how you charge from people showing less estimated price at the beginning of the trip scheduling and keep adding amount when on the trip. Don't deceive people. Such a worst app when compared to uber.,funny charge people show price beginning trip don deceive bad app 
Safe to us,safe 
Please uninstall guys. They funded to build shariya university.,fund build university 
no experience,experience 
horrible app,horrible app 
Worst app ever! Losing its customers regularly,bad app lose regularly 
good,good 
best app,best app 
🖕,middle finger 
so useful,useful 
very bad service,bad service 
muslim,
worst of them all,bad 
excellent Sri Lankan work,excellent sri work 
nice,nice 
worst app ever. if you have promotions every time need to add promo cords. fair is not fine. app shows a price to go to location. and after go there the app shows more than price to pay driver.,worst app time need add fair fine price location pay driver 
Thadha Thadha bro,
No more ❌,no cross mark 
excellent,excellent 
excellent .........👌👌👌👌👌👌👌,excellent ok hand 
The best,good 
The only fantastic service provider in Sri Lanka..Keep it up.,fantastic service provider sri 
Awesome service,awesome service 
❤❤❤❤❤💋💋💋😎😎😎😎,red heart kiss mark smile face sunglass 
excellent app,excellent app 
👌👌👌👌,ok hand 
The best travel app in sri lanka.all the best guys.dont get fear to mobs.!!!,good travel app sri not fear 
Best Taxi App,good taxi app 
bad service,bad service 
bad service,bad service 
bad service,bad service 
best app,best app 
bad,bad 
high price,high price 
poor,poor 
very bad,bad 
very responsive and user friendly,responsive user friendly 
Best app,best app 
user friendly application,user friendly application 
"This is the fantastic,marvelous transportation app in Sri Lanka..",fantastic marvelous transportation app sri 
"Normally I'm Using Pickme App , office to Home, Home to Office morning & evening & personal use also very good service & it's good experience for me good vehicle conditions good human driver's... I'm Happy to Use PickMe App 😊 Best of Luck PickMe Team 🤝",normally app office home morning evening personal use good service experience vehicle human driver happy smile face eye luck team handshake 
best and cheap taxies in town,good cheap town 
👌,ok hand 
Great app for a great service. Good to see new features are adding without impacting to the performance.,great app service good new performance 
Awesome and reliable service anytime anywhere..,awesome reliable service 
Great,great 
"i feel very comfort & secure when am travelling in a pickme vehicle, very friendly drivers & pickme had all details about my each travel. i wish them all success!!!",feel comfort secure vehicle friendly travel wish success 
Excellent,excellent 
"making the life easy, touch of a botton vehicle at your door step within few minutes.",make life easy touch vehicle door step 
supperb and safe serive,safe 
muslim,
Very good app,good app 
Great,great 
"we dont need to use this kind of applications . you telling customers meter count begun on 60 Rs but actually counting starting on 70 Rs , anyone can give a resonable answer for it. very poor maintenance . srilanka shud remove this kind of useless apps",not need use kind telling meter count begin actually start answer poor maintenance remove useless 
Very helpful app,helpful app 
We don't support muslims anymore.,support 
good,good 
good service,good service 
Fare very high,fare high 
very good app,good app 
App doesn't work properly.,app work properly 
"Very Poor Service , Like a Garbage . Dont use this...",poor service like garbage not use 
Good app for us,good app 
excellent,excellent 
Stupid app. ride works fine. food service sucks. no one picks the orders. half the time it says we are not servicing your area. Im ordering from colombo 03.,stupid app ride work fine food service half time area 
very good,good 
good,good 
Please make it compulsory for driver partners to include a profile picture for easier verification purposes as sometimes the vehicle plate numbers are also different and the only way of verifying is with the phone number.,compulsory driver include profile picture easy verification vehicle plate different way phone number 
Supports terrorism,terrorism 
Pick me foods service very Bad.,pick service bad 
pick me nice,pick nice 
niz apk,
poor,poor 
Uninstalled,uninstalled 
Super,super 
they reserved money for unwanted things like pog.,reserved money unwanted like 
"Immediate responses with regards to complains or concerns raised. Quick, easy and convinient",immediate raise quick easy 
They won't be coming for short rides. Just a waste of time.,come short waste time 
worst,bad 
Poor performance,poor performance 
isis terrorist supporting app.. dont download and use this,terrorist support app not use 
"poor service, erros in price calculation",poor service price calculation 
Hate this app,hate app 
Don't use this app. They don't treat customers well.,don use app treat 
too much price and worst service from drivers. never going to use this app again.,price bad service go use app 
muslim waste,waste 
Best app for travelling 😃😃😃,best app grin face big eye 
please NO,no 
Worst,bad 
CEO - Muslim neda ? apita epa me app eka .,app 
help the terrorist and donate,help terrorist donate 
this is a threat to out country..extremists,threat country 
drivers not prefer to come for short distances...They come up with various reasons to not to come for the short distance hires😕,prefer come short distance confused face 
"high price, not suitable fro sri lankans,",high price suitable fro sri 
worst app ever used..try another one sriankans..there are so many alternatives now,worst app try 
BAD,bad 
nice,nice 
Worst taxi app.,bad taxi app 
please uninstall..guys...මේක මුස්ලිම් වියාපාරයක්,
junk,junk 
"worst service , it takes too much time for pick us, and app shows fake estimated time , time waste ,",bad service time pick app fake waste 
"uninstalled after may 21, 2019",uninstalled 
drivers are too badand very poor service from the company,poor service company 
Uninstalled.. Thank u,uninstalled thank 
support for religious extremists,support religious 
ලබා දුන් සහයෝගයට තුති. නැවත pick me පාවිච්චි නොකරමි. මුස්ලිම් ව්‍යාපාර වලට නැවත කිසිදු සහයෝගයක් නොමැත. byee pick me now i already uninstalled your app. I never use muslim apps again..,pick byee uninstalle app use 
they are terrorist ... dont buy their services..,terrorist not buy 
poor service,poor service 
bad,bad 
price is very high and unfair,price high unfair 
Great Service 👏🏼,great service clap hand medium light skin tone 
very useful,useful 
Satisfied with new features. Should improve the location service more,satisfied new improve location service 
අනේ තම්බි රෙද්දවල් අපිට එපා... 🖕,middle finger 
Deleted,
Deleted,
yogo walata Maru wenna,maru 
Dont use this app,not use app 
worst,bad 
not good very bad,good bad 
not recommended,
Loop,loop 
service is really disgusting,service disgusting 
"Stopped using this. bye. . . now the app is really complex, food, trucks are all in one app. sometimes it stucks. i think the app would be modularized, keep separated would be better. example : im not using pickme food (my area does not have pickme food) but app shows some unwanted process.",stop bye app complex food truck think better example area unwanted process 
good service your gii,good service 
very bad,bad 
"Gives me an error 'Location uodate failed' and doesn't allow me make a booking. Uninstalled and reinstalled the app, and still doesn't work!",error location allow book uninstalle app work 
good,good 
aaaaaa,
pathetic,pathetic 
Bad service,bad service 
How can we trust them?,trust 
Good,good 
waste,waste 
good,good 
No use again.....,no use 
bad,bad 
very bad,bad 
don't download this ! this is Muslim and they help to Sharia university. make sure that this is the time to leave this service and eventually move to Taxime service.,help university sure time leave service eventually 
Worst,bad 
uninstalled..,uninstalled 
bad service,bad service 
dont use. this service. terrorists,not use service 
very unfair aplication.peopls untrusted.hide cost for waiting .dont use anyone,unfair untrusted hide cost waiting not use 
NICE,nice 
This service is sucks..uber is better than pick me.,service better pick 
High prices . Download Tripmo,high 
very bad customer service. wait so many time for the response but didn't take any actions. Please don't use this. Vast experience ever.,bad customer service wait time response use vast experience 
App is not working. Not recommended at all.,app work not 
remove this app..,remove app 
always charge higher than estimated cost.,charge high cost 
deleted.,
bad,bad 
I dont use any more....,not use 
I was a regular customer but I delete the application today & I will not use it anymore.,regular customer delete application today use 
Worthless garbage,worthless garbage 
very poor service. and this company doesn't even treat their drivers well. I Prefer YOGO,poor service company treat prefer 
good,good 
very good,good 
one of the worst taxi services i have ever seen.. drivers charge rs.50 extra for the things we bring from any stall... and they say that you(pick me) have only told them to take so.... driver name kumar... Date 3/5/2019... time 12:30.... please inform the people if you are doing anything like this before hand.,bad taxi see charge extra bring stall pick tell driver date time inform people like hand 
Good,good 
isis company of Sri Lanka,company sri 
helping to islam Extremism.,help extremism 
use uber its better than pickme,use well 
wery bed,bed 
bad taxi company in srilanka,bad taxi company 
The price shown on the handbill is flat or its range?,price show handbill flat range 
Never use again.bye,use bye 
technical support is very bad,technical support bad 
now time to change.no Halal again,time change halal 
worst app and service,bad app service 
poor service,poor service 
Very bad,bad 
everyone rate down this,rate 
fake app don't install,fake app install 
"Driver access to cancel the trip when customer is waiting, must be controlled.",driver access cancel trip customer waiting 
bad,bad 
wow,wow 
පල හු********,
good driver and safe,good driver safe 
it's waste my time always .,waste time 
good,good 
highly not recommend they are supporting to the terrarium in sri lanka.please do not use this service if you are really love to our motherland.🤬🤬,highly recommend support terrarium sri use service love motherland face symbols mouth 
very bad service.Uber still best morethan this .,bad service good 
Satisfactory.,satisfactory 
app eka hodai... සින්හලයට හරියන්නෙ නෑ...,app 
bad muslim,bad 
This app developers support terrorism and funds are donates to the terrorist groups.,app support terrorism fund terrorist 
Good Service,good service 
Good,good 
😈,smile face horn 
uninstalled,uninstalled 
good service,good service 
Bad service,bad service 
Don't use this app,don use app 
worst app ever,worst app 
Good,good 
Terrible app.,terrible app 
service is not good,service good 
supab,
application errors. drivers also complaining.,application 
Bad service. We are unsatisfied.,bad service unsatisfie 
unistalled .,
👌,ok hand 
location errors 😡 don't use this app,location pouting face use app 
uninstalled for a better future,uninstalle well future 
sweetsweet with cftttt ctft,
😔,pensive face 
worst ever,bad 
Good excellent,good excellent 
"Simply a rubbish app. They tried to copy uber, but no way near.",simply rubbish app try copy way near 
"I have reinstalled the app today. But it doesn't work. When I'm trying to put my location from my favourites, the app gets stuck for a while and restarts.",app today work try location stick 
"Always cancel trips by drivers. they pick another one rather than me. Very dangerous to put card details because i have experienced that pickme drivers accept my trip and pick someone eles. at the mean time i cannot cancel the trip or book another one, even drivers phone also off. unprofessional drivers.",cancel pick dangerous card experience accept trip mean time book phone unprofessional 
good,good 
good,good 
"Good app , poor service by some drivers",good app poor service 
very nice one,nice 
good,good 
srmdc,
good,good 
please don't use this it is waste of time and money always charge more,use waste time money charge 
oyala tambiyonta muslim school hadanna salli dunna ne,school ne 
Good,good 
Excellent,excellent 
good,good 
The app is ok. Charges are high. Drivers are unprofessional and unethical. Pickme drivers will take a longer route to the destination so they they can increase the price charged to the rider.,app high unprofessional unethical long route destination increase price rider 
low price,low price 
very useful,useful 
no goog,
what the *************** promo code,code 
good,good 
fine,fine 
Very Good Taxi service in Sri Lanka,good taxi service sri 
super drive,super drive 
this is best app for us,best app 
good,good 
best to taxi,good taxi 
very bad,bad 
Sometimes the location is incorrect. Sometimes it doesn't work.,location incorrect work 
v bad un happy app,bad un happy app 
PickMe,
quick,quick 
very good,good 
po,po 
Worst app ever,worst app 
goooooddddd,
please maintain a pick me food delivery in Habarana,maintain pick food delivery 
"The app keeps crashing!! please fix it as soon as possible, and seriously this app need a way to add promo codes in the middle of a ride cause i always forget to add them before booking. And also too many bugs.",app fix soon possible seriously need way add middle ride cause forget booking 
very useful app,useful app 
v nice service,nice service 
ii,
good,good 
really very nice app👌👌👌,nice app ok hand 
good,good 
"The feature to track bookings made by contacting the call centre is unreliable. The icon to track them appears on the left side of the screen. But sometimes after reopening the application, it is missing and I am unable to track that ride",feature track unreliable icon leave screen application miss unable ride 
good,good 
❤️,red heart 
all of a sudden apo stooped working. its asking me to turn on the location again and again when its already turned on. and it wont go to the main page. i cant ise the app basically,sudden work turn location will not main page app basically 
I am very disappointed about this worst app. This is the worst app that i used to fulfill my travelling need. They have 3rd class drivers. They are not much care about us. I had worst experience with their driver called chandrasiri. Bloody tide driver. He blame to us. Vehicle no CAO 5106. Don't use this bloody app. UBER is the best app than this bloody app.😡😡🤢🤮,disappoint bad app fulfill need rd class care experience driver bloody tide blame vehicle don use good pouting face nauseate vomiting 
The application is updated too frequently and is complicated .Due to this I did not have the app for 3 months .Also the locations shown are wrong most of the time,application frequently complicate app show wrong time 
pick me is taking too much money when we book a car or any vehicle,pick take money book car vehicle 
cool,cool 
Ma Ena Gaana Oru Inne Trip Eke Charge Eka 260.00 Mage Gfva Bussala Eyata Salli Dhunnama Ora Thakkadiya 100k Wediyen Illagana,ma trip eke charge mage ora 
terrible,terrible 
updates should be optional.... you are forcing to do it.... not all users have brand new phones with ample memory. and elderly users are used to simple settings ... upgrade make it difficult to use the app... would appreciate if you could have a Lite App and another version with all gimmicks so people could choose.,optional force brand new ample memory elderly simple upgrade difficult use app appreciate lite version people choose 
this is so inconvenient. what happened to pick me?,inconvenient pick 
we need fixed price,need fix price 
I can't download new version. let me have what I used. Thanks.,new version let thank 
pick me is a useless service your drivers are not curtious some are rude they are uneducated and uncivilized lot EVEN donew your competitions are fake should never get trapped for your congratulations,pick useless service rude uneducated uncivilized lot fake trap 
good,good 
sometimes forcing update it's not suitable for this app so please change some unwanted updates.because it Will be effected in future.,force update suitable app change unwanted future 
kAduwela,
thissa,
good but some drivers meter on accept place to come,good meter accept place come 
top,
good,good 
👍,thumbs 
good,good 
v good n convenience,good convenience 
effective,effective 
It's fine,fine 
Very good perfect app and very use ful,good perfect app use 
very good,good 
high prize so I changed user. .it has lowest prizes and fastest,high prize user 
good,good 
excellent,excellent 
Terrible Driver training. They don't even know how to follow a map properly or show etiquette.,terrible driver training know follow map properly etiquette 
veryy,
Good app,good app 
very good,good 
good not bad,good bad 
Nice,nice 
great app,great app 
Good for us,good 
good,good 
Good,good 
Good drivers,good 
Supar,
good,good 
Good,good 
ok,
wasi,
"Its still an estimation price that we get on screen, even though the app update says it to be a flat fee.. Is PickMe trying to fool people by just changing the way the price is shown onscreen, from a ranged amount to a specific fixed amount, and still call it an estimate...???",estimation price screen app update flat fee try fool people way show range specific fix estimate 
go and come car full,come car 
👌,ok hand 
Nothing bad,bad 
good,good 
supar,
excellent,excellent 
Nice experience!,nice experience 
❤️❤️❤️,red heart 
good,good 
good,good 
k n. b,
Good service. Very cheap. Add the colour of the vehicle which we hire.,good service cheap add colour vehicle hire 
this is very good vehicle in the srilankan it is greater than the uber,good vehicle great 
good,good 
go colombo,
too complicated,complicated 
dbi,
Good,good 
Not satisfied,not satisfied 
good,good 
Please add the real map.. some times not working to this...😫😫😫😫😫,add real map time work tired face 
superb service,superb service 
Happy,happy 
Bad customer support services,bad customer support 
on time,time 
worst app.the location of the tuk is showing in the same location for 15 min.,bad app location show min 
it is a good app which helps the people in sri lanka when coming to the transportation side,good app people sri come transportation 
good,good 
Pick me - good taxi service .First my choice is Pick me.,pick good taxi service choice 
Very good,good 
We cannot cancel a request. pick me driver is blocking my app???,cancel request pick driver block app 
good,good 
i didnt recieve feedback form of last trip,not feedback form trip 
very slow,slow 
great app. please add high way charges in the app,great app add high way 
New update is less user friendly... previous one was better,new update user friendly previous well 
👍,thumbs 
good,good 
safety drive,safety drive 
pickme riders take a long route purposely and most riders take the advantage of traffic so tht they can increase the waiting charges,long route purposely advantage traffic increase wait 
this is best app forever I love pick me Its great and wonderfull,good app forever love pick great 
meka download karanna eppa meka kunu app ekak,app 
good,good 
VERY CONVENIENT,convenient 
fb,
super,super 
Draw your,draw 
brilliant,brilliant 
Hhh,
superb ❤️,superb red heart 
excellent service,excellent service 
not showing the location correctly,show location correctly 
good,good 
prabath kumara ilanganthilaka,
good,good 
good,good 
good,good 
good job,good job 
"The best in Sri Lanka, and it's made in Sri Lanka. 💐",good sri bouquet 
expensive.,expensive 
👍👍👍👍👍👍👍,thumbs thumb 
Excellent,excellent 
superb service,superb service 
PickMe Food Sucks! The drivers refused to deliver saying that the order is big. Disappointing response from the drivers.,food deliver say order big disappointing response 
Good,good 
good for travel,good travel 
good,good 
best app,best app 
good,good 
good,good 
"Reliable, trustworthy, easy access, almost every day I go in pickme and never had a bad experience",reliable trustworthy easy access day bad experience 
f... off,
good,good 
In any time we can take care and rides,time care 
This is the most superb ordering and taxi service app I have used. I love this app. It is fast and great.,superb taxi service app love fast great 
thanks from kandy,thank 
පානදුර,
good service,good service 
once finding food has been a supre hazzle and you made it super easy. thank you for making eating enjoyable ⭐,find food super easy thank make eat enjoyable white medium star 
great and useful app ❤️,great useful app red heart 
Great work,great work 
good,good 
good,good 
It is very convienience to use,use 
ok,
im at rajagiriya .location picked somewhere medirigiriya,location pick 
very happy with the service provide. drivers should improve their attitudes more. Thanks pickme,happy service provide improve thank 
good,good 
❤❤❤❤❤❤❤,red heart 
even with latest update showing a fix price. but downside its mention as this is estimate. no change. fix price me means should be fix without estimate.,late update show fix price downside mention estimate change 
nice app,nice app 
IT'S V. GOOD SERVICE SO FAR I HAVE USED AND ALL THE BEST PICK ME,good service far pick 
Taxi fares are just bad. Terrible taxi service.,taxi bad terrible service 
better but sucks,better 
good,good 
"One of the perfect app and good services are provided. As a improvement area , PickMe would be the best if drivers could become more polite with customers.",perfect app good provide improvement area polite 
pick me piks you on time at your door step eaven the software is soo user friendly,pick time door step user friendly 
Very Useful with Accuracy.,useful accuracy 
its amazing,amazing 
standard,standard 
"Excellent.my suggestion is add new features like : multiple location select, custom route select, if add multiple location adding also custom waiting time select....fix zoom bug on map",excellent suggestion add new like multiple location select custom route wait time fix zoom bug map 
Good,good 
👍👍👍👍,thumbs thumb 
good😊,good smile face eye 
gooood,
gd,
great,great 
bad service,bad service 
good service....,good service 
gokd,
good,good 
Dhen eche neythakah ok,eche 
wonderful,wonderful 
very good service,good service 
good,good 
ignore,ignore 
super,super 
Good ah ha ha,good ah ha 
ok,
good,good 
good,good 
ok good,good 
time&data wasting,time datum waste 
"You have to be kidding me, forcing updates on an app like this. Last night i needed to book a tuk but when i open the it says update to latest version. I barely had data to book a tuk but bcz of your stupid update policy i had to wait a long time until a bus arrive",force app like night book open update late version barely data stupid policy wait long time bus arrive 
excellent,excellent 
It used to be a great app. But since few weeks it doesnt work well. GPS location is wrong most of the time and the vehicle is not the closest one. Sometimes we have to wait more than 15 minutes until the cab arrives for a short hire of 5 minutes.,great app not work location wrong time vehicle wait cab short hire 
good,good 
"Never go with this fake taxi service. Go with ""Uber""",fake taxi service 
Usles app I tryed install in my phone location is on but error saying unable to get location don't wanna waste time and data....,app install phone location error say unable waste time datum 
good servies,good 
ggghhj,
good,good 
good service,good service 
2-3 discount per week so it's helpful for me,discount week helpful 
good,good 
good,good 
good,good 
three well,
very user friendly,user friendly 
පට්ට,
good,good 
fg,
දිනයක්,
good one,good 
good,good 
Good,good 
wow,wow 
bad service,bad service 
this is the best one in sri lanka....,good sri 
good,good 
goog,
good,good 
wow,wow 
dont have complain,not complain 
please let the user to choose update later option... when somebody is gonna die don't hav tym to update n book...,let user choose update later option somebody die book 
"Sometimes Drivers use more distance roads, even when there is short roads. They don't follow the road that shows in map. I experienced that bad experience in today morning. So, if you look into this matter, this will be really good and competitive app than other apps.",use distance short follow road map experience bad today morning look matter good competitive app 
good,good 
ai aul app eka tikak,ai app 
Hi bro,hi 
Good pick,good pick 
Super easy to use. ..,super easy use 
great,great 
Excellent,excellent 
too much space need,space need 
good app,good app 
good,good 
good,good 
very good,good 
its cool,cool 
Good service ...,good service 
next level,level 
it's good for traveling and easy to use ect,good travel easy use 
awesome,awesome 
keep it up,
best traveling solution,good travel solution 
I'm not able to add any credit card to the app. It always comes back with an error after trying two different cards.,able add credit card app come error try different 
patta,patta 
very useful thank you,useful thank 
excellent service,excellent service 
Every thing good,thing good 
latest version is useless.not supporting to my phone.how can i get previous version.,late version useless support phone previous 
not good before good,good 
best and fast,good fast 
thank,thank 
Stop sending me stupid promo messages while i'm sleeping.,stop send stupid sleeping 
cool,cool 
Great app. Realy user friendly have ability to archive more. Has made travelling really comfortable and affordable.,great app user friendly ability archive comfortable affordable 
cheap and easy,cheap easy 
👍👍👍👍👍👍👍👍👍,thumbs thumb 
Why can't the App use the last payment method I used by default for all the future trips? I always use the Card for payments but the App sometimes defaults to Cash automatically for the next trip. Sometimes I only realise this when the trip ends.,app use payment method default future card cash automatically trip 
very good..!,good 
super,super 
Good App For Us.,good app 
Good,good 
wonderful app easy to use,wonderful app easy use 
good,good 
good traveling,good travel 
Rapid response. Availability is exceptional. Most drivers are competent. And above all so convenient.,rapid response availability exceptional competent convenient 
good,good 
3rd class marketing,rd class marketing 
This app is help for our safe journey. It's amazing,app help safe journey amazing 
good,good 
3weelers are lier,weeler lier 
good picme,good 
best travel,good travel 
sooo good..... 👍,good thumb 
sweet app,sweet app 
good,good 
super service,super service 
Valued Service,value service 
card trips automatically changes to cash trips.,card automatically cash 
good,good 
packme,
superb,superb 
Good,good 
good,good 
Was a very good app until I updated to Android Oreo. App is not compatible with Oreo and crashes and does not detect the location despite providing permission to access location. Gives an error saying app is designed for an older version of Android.,good app android compatible detect location despite provide permission access error say design old version 
excellent,excellent 
excellent,excellent 
its a very good partner of life 😁,good partner life beaming face smile eye 
BaD,bad 
well 💪,flexed bicep 
useful application to find a taxi.,useful application find taxi 
good app for travelling in Sri Lanka,good app sri 
Better,better 
Super system and very accurate also secure But recheck you rates.,super system accurate secure recheck 
im trying to download this app but im unable to. i imformed the pickme but no assistance yet. i was using this app before but when appeared to be updated only this happened. admins will you please help me to get this through.,try app unable assistance help 
super service,super service 
vvකබඅඅගකයටටකබකඉබකගටඅඅගගගvkයකvkvllm,
useless services pic me useless i hate this service poor n cheep services,useless pic hate service poor cheep 
good,good 
bad service,bad service 
i like,like 
👍,thumbs 
very easy,easy 
හොද විශ්වාස වන්ත සේවයක්.තදබදය අැති වේලාවල වාහන සායා ගැනිමට අපහසුයි විශේෂයෙන් පාසල් අරින වේලාව,
Good,good 
New update has bugs. when driver is booked the detail bar is faulty with missing letters and dialocated graphics,new update driver book detail bar faulty miss graphic 
Please inform the user if you guys don't have a vehicle beforehand until the last moment to book a vehicle ahead. We don't have no option to book another vehicle at the last moment specially aiport drops and pick ups.,inform user vehicle moment book ahead option specially pick 
good,good 
good,good 
excellent,excellent 
used full app,app 
good,good 
Excellent service,excellent service 
wonderful,wonderful 
I need Threewheel,need 
super app,super app 
nice,nice 
excellent service,excellent service 
Goid,
SOS button should be named. Just an icon isn't enough,button icon 
good app,good app 
very ecomoical service,service 
good service in sri lanka.,good service sri 
god app,god app 
after the latest update it says that sorry this service is not available in your region please fix this,late update sorry service available region fix 
charge for trips you ve nvr been.once i booked a pickme.driver was on the way and all of a sudden he cancelled the trip and money was charged from my credit card .i didnt even see the taxi.i complained this to the pickme company but didnt seemed to bother.lost money and my time both on the.never gonna use this again.please be carefull when using credit card.they charge u for nothing.i need to add an screen shot too but here i cant.,charge book driver way sudden trip money credit card not taxi company bother lose time use need add screen shot 
Good app,good app 
Patta,patta 
good,good 
not good,good 
good sarves,good 
wonderful,wonderful 
doesn't work properly,work properly 
👍,thumbs 
zeb,
good .,good 
great,great 
I always pick PickMe because it's so convenient. I usually met polite and friendly drivers. Also user friendly app.,pick convenient usually meet polite friendly user app 
👍💟,thumbs heart decoration 
drivers should be train to how to talk with peoples,train talk 
good 👍,good thumb 
good app,good app 
bad taxi service,bad taxi service 
"we cant manually input our location. as we try to do that, app crashes and asking to restart the app",not manually input location try app restart 
phone getting stuck when loading this app..this consumes lot of memory,phone get stick loading app lot memory 
thank for your kind consideration,thank kind consideration 
this app is awesome!,app awesome 
A Fantastic App. Very easy2use &Accurate,fantastic app easy use accurate 
I think this app is useful,think app useful 
Overall it is functional but the GPS location finder and passenger locator has to be much improved.,overall functional location finder passenger locator 
bad service,bad service 
Very bad company not trust bad customer service bydriver,bad company trust customer service 
bad,bad 
no service.,service 
quick services at anytime .,quick 
good👍,good thumb 
when we book pick me all the time not available......,book pick time available 
Advertised all around negombo saying pickme is in negombo.. But there have been no tuks available at any time for the past two weeks.. Come on guys.. Don't false advertise..,say available time past come don false advertise 
wonderful and awesome keep the good work up👍👍,wonderful awesome good work thumb 
this app helpful,app helpful 
cheetong company,company 
works great,work great 
one of the best taxi spots in Sri lanka,good taxi sri 
My Loyalty points keep reducing day by day without even redeeming them.. This is quite unfair. please do see to this.,loyalty reduce day unfair 
good,good 
pr,
its good app which we can easy to go anywhere for a valuable price .the drivers are so helpful.there is little more disadvantage .it is the driver takes a bit of time to reach us.,good app easy valuable price helpful little disadvantage driver bit time reach 
suprb,
no issues works really well . just one request : try and show the taxi fare amount on the customers phone app as well once trip has started,work request try taxi fare phone app trip 
Best,best 
excellent. much more reliable than other existing services. vehicles are readily available,excellent reliable readily available 
Very Responsive and user friendly. Only problem is you cant add promo code in the middle of the ride. sometimes you get forgot to add it in the first place so there should be way to add code later. Great competitor to international giant.,responsive user friendly problem not add code middle ride forget place way later great competitor international giant 
best,best 
Best App ever !!!!,good app 
Best taxi app that suits the local,good taxi app local 
nice,nice 
great,great 
Nice experience,nice experience 
great,great 
your rates are now higher than uber or normal 3 wheelers.I have now stopped using pick me .,high normal stop pick 
bad drivers,bad 
nice,nice 
Very Useful,useful 
very easy app,easy app 
