,text,Preprocessed_text,cluster
1265,good app,good app ,Common
1266,V good,good ,Common
1267,most of the time their system not works properly... the app is disgusting,time system work properly app disgusting ,Common
1268,Good,good ,Common
1269,boring always change ur apps version,bore change ur version ,Common
1270,Good,good ,Common
1271,Things are improving,improve ,Bug_fix
1272,The best app ever!!! As a sri lankan I am proud to have this app. Kudos to the founders. I want you to buy out Uber .,good app sri kudo want buy ,Common
1273,Good,good ,Common
1274,AB,nan,Common
1275,Ok,nan,Common
1276,Cant order food. Earlier i used to do. After upgrading app is not working,not order food app work ,Common
1277,Excellent,excellent ,Common
1278,Rubbish service...customer care doesn't know how to speak and pickme food doesn't deliver the food on time...there trying to cancel the order... hereafter no order from pick me or pickme food...,rubbish service customer care know speak food deliver time try cancel order pick ,Common
1279,Unfortuntely stopped,stop ,Bug_fix
1280,"When a discount code is put, even the available drivers are not shown... When checked without the code, there are plenty....",discount code available show check plenty ,Bug_fix
1281,Good,good ,Common
1282,superb,superb ,Common
1283,Muslim 🖕,middle finger ,Bug_fix
1284,"Hire Incentives කොළඹ දිස්ත්‍රික්කයට පමණක් සීමා නොකර, අනෙක් ප්‍රදේශ වලටත් ලබා දෙන්න.",hire ,Feature Request
1285,Very useful,useful ,Bug_fix
1286,Ft,nan,Common
1287,"PickMe foods is utterly useless, it doesn't show the restaurants at all",utterly useless ,Bug_fix
1288,Jnvo,nan,Common
1289,Very fast,fast ,Common
1290,This app promotes wahabism.. Report this app,app report ,Common
1291,Good,good ,Common
1292,M8 Mike llook looking look later I looking looking on,mike look later ,Bug_fix
1293,Not working,not work ,Common
1294,Great Servise from inception,great inception ,Feature Request
1295,"Ui SD i Jon h has t shy bh GM iwfo,",shy ,Bug_fix
1296,Pick me😀😀😀,pick grin face grinning ,Bug_fix
1297,👍 super,thumbs super ,Bug_fix
1298,Good,good ,Common
1299,ත්‍රස්තවාදීන්,nan,Common
1300,JR,nan,Common
1301,The app crashed when I really needed a vehicle.,app vehicle ,Common
1302,"Once booked a ride and exit the app, there's no way to view the ride information again.",book ride exit app way view information ,Common
1303,New update is a mess. Can't even make a proper complaint with new chat bot. Also chat bot complaints are not recorded or attended.,new update mess proper complaint chat bot ,Common
1304,Superb,superb ,Common
1305,I Cant find the bike driver when im using pickme food.its only showing in ios.no in my android phone,not find bike driver food show android phone ,Common
1306,They change there policy and violate cutomers rights by feeding wrong information without notice.... Charged me today with excess fare starting price which is unethical without any notification nor message... If there are any pick me help service please reply to this...,change policy violate feed wrong information notice today excess fare start price unethical notification message pick help service reply ,Common
1307,"Pathetic service from call centre. Think twice before paying through QR code, because driver app doesnt get updated.",pathetic service think twice pay code driver app not ,Bug_fix
1308,Super app,super app ,Common
1309,"Hidden chargers apply. I have used. But due to driver issue driver cancelled the trip but now, when i compare with other traveling app pickme cosly. Uber is better.",hidden apply driver issue trip compare travel app well ,Bug_fix
1310,Best Taxi Service Company Ever ❤🔥 Uber Is A Word ✌ PickMe Is A Emotion 💕,best taxi service company red heart fire word victory hand emotion ,Common
1311,Good,good ,Common
1312,Good,good ,Common
1313,Greatly developed app. Easy to navigate with users needs.,greatly app easy navigate need ,Common
1314,Tried to set up account with my UK mobile. Wasnt accepting it 🤬,try set account mobile not face symbol mouth ,Feature Request
1315,Its very usefull,nan,Common
1316,Good,good ,Common
1317,Bad drivers. ..With bad attitudes.,bad ,Common
1318,Excellent,excellent ,Common
1319,"Hate to update the app always, and really dissopointed with call center",hate update app center ,Common
1320,best app,best app ,Common
1321,When i checked all food store are closed it is possible ?at least need give online service max 12 hours .....in after noon,check food store close possible need service noon ,Common
1322,"app is not opening,please see it",app opening ,Common
1323,Good app,good app ,Common
1324,No vehicles when needed.,no ,Bug_fix
1325,Buggy app. Time wasting. Don't download.,buggy app time waste don ,Common
1326,Good service,good service ,Common
1327,It's good,good ,Common
1328,Ambalangoda,nan,Common
1329,Good app to travel,good app travel ,Common
1330,ok,nan,Common
1331,Good,good ,Common
1332,I download pick me and when I go for foods it's coming not stopped,pick come stop ,Bug_fix
1333,Good,good ,Common
1334,Extremely poor coding and interface. No notification of responses to tickets.,extremely poor interface no notification ,Bug_fix
1335,Good,good ,Common
1336,Waiting time change 3.50.I not use this app.avant taxi app and driver very good.I think all pick me driver bad maind use this app.,wait time change use app taxi driver good think pick bad ,Bug_fix
1337,Mohamab nizam,nizam ,Bug_fix
1338,Driver asking too many questions,driver ,Bug_fix
1339,Good,good ,Common
1340,This app is very good,app good ,Common
1341,Good,good ,Common
1342,A good app,good app ,Common
1343,very good service app. Problem is applying the promo code to get it.,good service app problem code ,Common
1344,Perfect,perfect ,Bug_fix
1345,"Same person,same email, different devices cant register for the same email. I have 2 devices , 1 email adress. How to register?",person different not register ,Bug_fix
1346,Easy to find all vehicles,easy find ,Common
1347,Half the time no vehicles. I am really starting to feel fed up because of this. I hope you can find a solution fast. Or put more vehicle on to work.,half time start feel fed hope find solution fast vehicle work ,Common
1348,Niyanai appa eka,nan,Common
1349,Perfect,perfect ,Bug_fix
1350,Very excited,excited ,Bug_fix
1351,Good,good ,Common
1352,Good service,good service ,Common
1353,Good app only some drivers cheat,good app cheat ,Common
1354,unable to enter location keeps crashing all the time,unable enter location time ,Bug_fix
1355,Good job..👍👍🔥🔥,good job thumb fire ,Common
1356,Best,best ,Common
1357,Good drivers,good ,Common
1358,⭐⭐⭐⭐⭐,white medium star ,Bug_fix
1359,Very bad.allways crashes,bad ,Common
1360,Waw,waw ,Bug_fix
1361,"We wanted a 10 seater van and they agreed, we wanted an English speaking driver and they agreed, but we got a 9 seater van with a driver with extremely poor English, we tried to adjust the mishap by the company by asking to reduce the price for our trip and the declined, thankfully the driver was nice but the company that sent him wasn't..",seater van agree speak driver get extremely poor try adjust mishap company reduce price trip decline thankfully nice send ,Common
1362,Very bad. pick me is lier . Yestetday i booked for Bentota beach and done for ten seater van and english speaking driver but it was lie they provided 9 seater and unknown of english driver. Managment told that u adjust with 9 seater but refused to adjust with their charges its very bad experience kasim,bad pick lier book beach seater van speak driver lie provide unknown tell adjust experience ,Bug_fix
1363,super taxi,super taxi ,Common
1364,Excellent,excellent ,Common
1365,Best,best ,Common
1366,One of the most reliable apps coming from SL. The service is improving every time. Best thing is it's available in Kandy as well and the fairs are reasonable,reliable come service improve time good thing available reasonable ,Common
1367,good,good ,Common
1368,"With the emergence of new taxi apps, the number of vehicles have gone down. So, its almost impossible to get a vehicle when needed",emergence new taxi number go impossible vehicle ,Feature Request
1369,App is always hangsup. When I'm going to. Book a trip after selecting the location app is restarting. Again i tried to do the process. Result is same. Plz fix it.,app go book trip location try process result fix ,Bug_fix
1370,Please add the chat option just like in Grab.,add chat option like grab ,Feature Request
1371,unknown,unknown ,Bug_fix
1372,Good,good ,Common
1373,"Food app search does not work. You can't search for food types. If your search for ""Biryani"" it only shows Big Bite Biryani! You only can search for a restaurant if you type the name exactly. And you can't check your past food orders. Horrible",food app search work big bite restaurant type exactly check past horrible ,Common
1374,Bag was left in the taxi even though i called the driver he said he could return it tommarow today he is declining my calls and not answering the phone and i called the hotline and they gave me another number of a person who was just said the wrong number so if yall can respond and help because i need that bag it has my work outfit and with out it i cant work today,bag leave taxi driver say return today phone give number person wrong respond help need work outfit not ,Feature Request
1375,The professionalism of the drivers and competence of the app is absolutely trash,professionalism competence app absolutely trash ,Common
1376,Very good,good ,Common
1377,Good,good ,Common
1378,Very quick 💓💓💓💓💓❤️❤️❤️❤️❤️❤️,quick beat heart red ,Common
1379,More than 20 to 30 times tried updating but cant use it without updating.,time try not use ,Common
1380,Lots of bugs. Pls solve them.,lot solve ,Bug_fix
1381,"Good service. At the end of the trip, if user not connected to the internet there's no way to add rating to the driver later after user connected to the internet. Only shows trip details. Please add it. Rating the driver is important. Edit--: Can't exit from the app like before. Had to push to run in background and then close apps.",good service end trip user connect way add rating driver later important edit exit app like push run background close ,Common
1382,Excellent,excellent ,Common
1383,A very bad experience with PickMe fold. Ordered Pizza and was told will take 25mins. Didn't arrive for an hour and I canceled the order. The rider still arrived much later and insisted on sending the food to us. Terrible.,bad experience fold order pizza tell min arrive hour rider later send food terrible ,Common
1384,SIRIYAWTHH,nan,Common
1385,Good,good ,Common
1386,Good local taxi service,good local taxi service ,Common
1387,උබ සිංහලයෙක් නම් මේ ඇප් අරගෙන ඒ හැත්තට සල්ලි දෙන්ඩ එපා පයින් පලයං,nan,Common
1388,"Exellent. In my opinion, we should promote sri lankan brands. Pickme has potential for now.",opinion promote sri potential ,Feature Request
1389,Excellent and reliable,excellent reliable ,Common
1390,"The network of booking vehicles is easy thanks to the app, but the quality of the drivers r getting bad and bad, also my house location is not presenting in the map, pls look in to it",network book easy thank app quality get bad house location map look ,Common
1391,Time saving app for the multiple needs,time save app multiple need ,Common
1392,Super,super ,Bug_fix
1393,Good job,good job ,Common
1394,Great Sri Lankan app. And reasonable rates.,great sri app reasonable ,Common
1395,Good,good ,Common
1396,best in.lanka,best ,Common
1397,All the best pick me group.your servis is a good.,good pick group ,Common
1398,Good service,good service ,Common
1399,Sometime application is stuck,application stick ,Bug_fix
1400,Horrible UI and the app keeps getting crashed. They need to invest more on the UI.,horrible app get need invest ,Bug_fix
1401,Dont download this app because there are not letting to order some food,not app order food ,Common
1402,Worst service ever. Both in pickme rides and pickme food. Very bad customer service and very poor in getting back to the customer. Really disappointed.,bad service food customer poor get disappoint ,Common
1403,#NAME?,nan,Common
1404,Easy to operate better than other cab booking services,easy operate well cab booking ,Common
1405,Thank,thank ,Common
1406,Our own nations taxi.,taxi ,Common
1407,"The app is faulty, especially when you pay through cards it almost all the time goes for a payment failure. That could've been bearable if the customer service was good. But it's the shittiest customer service I've ever received.",app faulty especially pay time go payment failure bearable customer service good receive ,Common
1408,good,good ,Common
1409,Superb,superb ,Common
1410,Quick response,quick response ,Bug_fix
1411,Oo,nan,Common
1412,Bad,bad ,Common
1413,Super fast goo,super fast goo ,Common
1414,"If there was a rating less than 1 star, I'd definitely choose that. Pick me food has the worst service.",rate star definitely choose pick food bad service ,Common
1415,Superb😎,superb smile face sunglass ,Common
1416,Good,good ,Common
1417,Best for Sri lanka,best sri ,Common
1418,I found them everywhere n anytime.,find ,Bug_fix
1419,"Hi Team, the latest application (6.315L) does not exit when you press the back button. I always need to go recent app and go back. That is painful. And there are lot of white space in your new landing screen whick looks aweful. Please check and fix them.",hi team late application exit press button need recent app painful lot white space new landing screen whick check fix ,Common
1420,Hnedn,nan,Common
1421,The Latest Update doesn't have an Option to close the application which usually are available in Other apps and even Pickme's past versions. This wastes the time amd guves frustration when we are in urgent need to close the app.,late update option close application usually available past time frustration urgent need app ,Common
1422,Great app,great app ,Common
1423,Awesome🤗🤗😘,awesome hugging face hug blow kiss ,Feature Request
1424,"Finally pickme proved that it is the No. 1 Local Taxi hailing app in Sri Lanka. I thought when Yogo released along with months of advertising, sky high hoardings and LINK Meter Taxi fame, it will be a real competitor for pickme but pickme won. And again after SLT released Muve I thought the same. But when I see the 3.x rating SLT Muve has in PlayStore it is proved within a couple of months they lost their fame ""danna kiyana kena"". The real winner is pickme. I surrender. Hats off...",finally prove no local taxi app sri think advertising sky high link meter fame real competitor rating couple lose winner surrender ,Feature Request
1425,👍,thumbs ,Bug_fix
1426,Service is not at all satisfying,service satisfying ,Common
1427,Best App in srilanka,best app ,Common
1428,The location is not shown properly,location show properly ,Bug_fix
1429,Waste app when urgently I'm going to use its always asking updates every month,waste app urgently go use month ,Common
1430,Good and fare service,good fare service ,Common
1431,Nice,nice ,Common
1432,Good,good ,Common
1433,Good service,good service ,Common
1434,ල්,nan,Common
1435,This app is very good,app good ,Common
1436,Good,good ,Common
1437,Good,good ,Common
1438,The app is having many bugs. They send us offer rides with their pickmepromo codes. But these codes are valid only on certain rides. So they should not allow for it to be applied on the rides its not available for. Furthermore i booked a cab for the airport . The driver came i left with the drvier. And for some reason it booked a second cab and half way through my journey this cab calls me aaking why i booked. I said take it up woth pickme as i am alrrady in the cab.,app send offer valid certain allow apply available furthermore book cab airport driver come leave reason second half way journey say ,Feature Request
1439,Cannot exit the app on Android 10 with gesture navigation,exit app android gesture navigation ,Common
1440,too high fairs...,high ,Bug_fix
1441,😊😊😊,smile face eye ,Bug_fix
1442,Very convent ❤,convent red heart ,Bug_fix
1443,Who is this now???,nan,Common
1444,No good,no good ,Common
1445,superb,superb ,Common
1446,Cool,cool ,Bug_fix
1447,I can't connect to pick me with my data. The data works well to other apps except for this. Please solve this issue as i uninstalled the app and tried again but it isnt working.,connect pick datum data work solve issue uninstalle app try ,Common
1448,Nice app love it,nice app love ,Common
1449,Good,good ,Common
1450,good,good ,Common
1451,Exce lent,lent ,Bug_fix
1452,Awsome app works well in colombo dont know about other areas👀❤💥,app work not know red heart collision ,Common
1453,Youtuber,nan,Common
1454,drivers doesn't accept card payments at all. hence please remove the pay by card option.. because no point of adding that option to the app if the drivers are not accepting the card payments 😑,accept card remove pay option point app expressionless face ,Common
1455,Good,good ,Common
1456,Wow,wow ,Bug_fix
1457,worst Services are provided by some pickmefood drivers some drivers. so many delays and sometimes they didn't deliver the correct food. Better to delete this.,bad provide deliver correct food better delete ,Common
1458,Nice,nice ,Common
1459,best driver in their its good.very fast attmpet,best driver good fast ,Common
1460,Most of the time its satisfied,time satisfy ,Bug_fix
1461,Usdammta Thanks,thank ,Common
1462,🔥🔥🔥🏍🏍🚓,fire motorcycle police car ,Bug_fix
1463,👍 for traveling,thumb travel ,Bug_fix
1464,👎👎👎👎👎👎 don't use pick me,thumbs thumb use pick ,Common
1465,Good,good ,Common
1466,Super job Gais,super job ,Bug_fix
1467,Nice,nice ,Common
1468,Good,good ,Common
1469,Utterly disappointed!,utterly disappointed ,Bug_fix
1470,Frequently mini cars arenot available at Gurudeniya area,frequently available area ,Bug_fix
1471,My food app doesn't work,food app work ,Common
1472,Good,good ,Common
1473,Good service,good service ,Common
1474,R we xxerx tree ee rs ectdd,tree ,Bug_fix
1475,good!! but tuk's are busy,good busy ,Common
1476,Super,super ,Bug_fix
1477,Vry fst,nan,Common
1478,Didn't work,work ,Common
1479,3weel hire,weel hire ,Feature Request
1480,Was an amazing travelling app long time ago. Now its not that good. The drivers or riders are introducing their personal marketing apprcoaches to customers. Specially pyramid schemes. The quality of this app/service has drastically dropped. Good luck.,amazing app long time ago good personal marketing specially pyramid quality service drastically luck ,Common
1481,"Useful, but the app is buggy",useful app buggy ,Common
1482,fast driving,fast drive ,Bug_fix
1483,Good,good ,Common
1484,it ok not mach vihicl avelbal.lower the cost.good to used,low cost good ,Common
1485,good luck,good luck ,Common
1486,awesome,awesome ,Common
1487,Good,good ,Common
1488,Easy and reliable,easy reliable ,Common
1489,They are telling me to update but it is the latest version 😡,tell update late version pouting face ,Common
1490,good,good ,Common
1491,Good,good ,Common
1492,good,good ,Common
1493,Ok,nan,Common
1494,good,good ,Common
1495,Excellent,excellent ,Common
1496,good.,good ,Common
1497,👍,thumbs ,Bug_fix
1498,The first and best transportation app in Sri Lanka.,good transportation app sri ,Common
1499,good,good ,Common
1500,can't use the app says to update but there is no update,use app update ,Common
1501,So sweet,sweet ,Bug_fix
1502,gooodd,nan,Common
1503,Good Service,good service ,Common
1504,👍,thumbs ,Bug_fix
1505,good app,good app ,Common
1506,good,good ,Common
1507,good,good ,Common
1508,good go,good ,Common
1509,So funny,funny ,Bug_fix
1510,Good taXi app,good taxi app ,Common
1511,god,god ,Bug_fix
1512,Excellent service with 100℅ reasonable rates and decent drivers.,excellent service reasonable decent ,Common
1513,good,good ,Common
1514,Superb,superb ,Common
1515,good app to travel,good app travel ,Common
1516,Better but can be more better than UBER.,better well ,Bug_fix
1517,good,good ,Common
1518,"It's good, If you provide bike service like Tuk Tuk Network definitely I 
will give 5 stars",good provide bike service like network definitely ,Common
1519,pikme daunlog,nan,Common
1520,Used to work but now forces registration and does not accept UK phone numbers,work registration accept phone ,Common
1521,I want to add this app to my phone please,want add app phone ,Feature Request
1522,I ordered a pick me tuk tuk for a friend. That pays by my debit card. But they also paid by cash. I want a refund... I made a complaint from pick me app. But there's no refund... Help me... I was emailed and complained by app about this two days ago but still no reply,order pick friend debit card cash want refund complaint app help day ago reply ,Bug_fix
1523,connection problems,connection ,Bug_fix
1524,good traveling app,good travel app ,Common
1525,Very easy app for every Sri lankan,easy app sri ,Common
1526,for emergency we can use,emergency use ,Common
1527,baddest service ever i seen. when road have traffic every driver need to cancel. this is not a good service.,service see road traffic driver need cancel good ,Common
1528,👍,thumbs ,Bug_fix
1529,maha wesa app ekak,maha app ,Common
1530,very useful app,useful app ,Common
1531,Great solution made in Sri Lanka to improve mobility and transport. I use this regularly,great solution sri improve mobility transport use regularly ,Common
1532,Very good,good ,Common
1533,chamindasamith44 gmail,chamindasamith ,Bug_fix
1534,good,good ,Common
1535,great,great ,Feature Request
1536,good,good ,Common
1537,newer app is extreamly slow to produse the amount when the driver end the trip,app slow driver end trip ,Bug_fix
1538,good,good ,Common
1539,best and great app if give opption to add stop realy valuble,good great app add stop ,Common
1540,"Over the years, a bank card has been added. More than a week, it is impossible to choose a card payment. Requires verification after each trip. Verification fails.",bank card add week impossible choose payment verification trip ,Bug_fix
1541,This app is very good.,app good ,Common
1542,Great service 😘,great service face blow kiss ,Common
1543,😘😂🤗,face blow kiss tear joy hug ,Bug_fix
1544,"Simply I am saying I love this app but ""the map"" is not clear,therefore can't identify locations and vehicales correctly...plz fix this soon.I give you a hint *Develop the pickme map like UBER.Thank you.",simply say love app map clear identify correctly fix soon hint develop like thank ,Common
1545,Best,best ,Common
1546,The best taxi in srilanka,good taxi ,Common
1547,the you t yet,nan,Common
1548,bad..,bad ,Common
1549,superb,superb ,Common
1550,not goo,goo ,Bug_fix
1551,good,good ,Common
1552,Good servicr,good ,Common
1553,good ☺☺☺,good smile face ,Common
1554,"Good in terms of transportation, but ordering food? Absolute worst experience. I thought this app could replace a home's domestic work, yet here we are, with an app full of bugs & crashes that makes apparent that we'd indeed got carried away",good transportation food absolute bad experience think app replace home domestic work apparent got carry away ,Common
1555,Cheep prices with comparing other taxi services.recommend for every one,cheep taxi recommend ,Common
1556,Pickme implemented a feature for drivers which will enable them to take hires even when they are currently on a hire if there are no other vehicles available. This has increased the time for a driver to arrive significantly and most drivers outright refuse to come AFTER finishing their current hire telling various reasons.,feature enable currently hire available time driver arrive significantly outright refuse come finish current tell ,Bug_fix
1557,👍,thumbs ,Bug_fix
1558,1st taxi app in srilanka if u give us a option to add stop and edit directions will be most help full and we need that option,st taxi app option add stop edit help need ,Feature Request
1559,good job save money,good job save money ,Common
1560,good,good ,Common
1561,great,great ,Feature Request
1562,This app is good and easy to use but the location seen on the google maps os wrong.Also they should add some safety features to the app.,app good easy use location see os wrong add safety ,Common
1563,takes long time for the food delivery. costumer will have to go starvation first before food is delivered.,long time food delivery costumer starvation ,Common
1564,good,good ,Common
1565,want to modify,want modify ,Bug_fix
1566,once i completed a trip the charge was 0 lkr.. driver had to call the hotline several times till he is going out of credit in his phone while keep trying. i contacted customer hotline and they keep saying that is a driver issue & needs to contact that hot line. finally had to wait arround one hour to get a support at mid night & went after agreeng with driver topay the amount by showing previous hires. it is totally dissatisfied how thir consumer hotline keep us waiting on the road at 12 night.,trip charge driver time till go credit phone try customer say issue need contact hot line finally wait hour support mid night show previous totally dissatisfied thir consumer road ,Feature Request
1567,Nice,nice ,Common
1568,it consumes huge internet data more than 50mb each and every use within few minutes.in the last month it used 2.5 gb foreground data.I think this app is stealing user's details.better to get uninstalled and avoid this service.,huge data mb use month foreground datum think app steal user better uninstalle avoid service ,Common
1569,good,good ,Common
1570,Good,good ,Common
1571,Great job,great job ,Feature Request
1572,very unprofessional drivers,unprofessional ,Bug_fix
1573,Was slow but to be honest very effective in finding an item I lost in a three wheeler. Thanks,slow honest effective find item lose wheeler thank ,Common
1574,she is good app,good app ,Common
1575,don't install because verry bad customer service,install bad customer service ,Common
1576,good,good ,Common
1577,nice,nice ,Common
1578,Best service pickme,good service ,Common
1579,good,good ,Common
1580,"I would rate this but unfortunately, gps sucks. The hire comes with in 10km when there are vehicle shown near by",rate unfortunately hire come km vehicle show near ,Bug_fix
1581,"Yesterday i made a booking, driver tried several times to finish trip but fail. from that time that trip is showing continue and i am unable to book another ride. I came Sri Lanka on business trip. I emailed on given id but no response. no back support so i am helpless.",yesterday booking driver try time finish trip fail showing continue unable book ride come sri business give would response support helpless ,Bug_fix
1582,convenient,convenient ,Common
1583,amaizing,nan,Common
1584,very good,good ,Common
1585,good,good ,Common
1586,My first attempt to fetch a taxi through this app was a faliure. Need improvement. Fix the bugs. Make this more user friendly.,attempt fetch taxi app need improvement fix user friendly ,Bug_fix
1587,App is slow and still the map and the driver's location is not accurate.,app slow map driver location accurate ,Bug_fix
1588,S.G.K. LAKSHAN..........🔫🔫🔫,pistol ,Bug_fix
1589,good,good ,Common
1590,good,good ,Common
1591,good,good ,Common
1592,bad nougthy company,bad company ,Bug_fix
1593,bad service,bad service ,Common
1594,",v",nan,Common
1595,new update sucks 👎,new update thumb ,Common
1596,really good ...... good service .....,good service ,Common
1597,so good,good ,Common
1598,good,good ,Common
1599,good,good ,Common
1600,Good service and can trust.,good service trust ,Common
1601,Very bad miter,bad miter ,Common
1602,best taxi hailing app ever!,good taxi app ,Common
1603,👍,thumbs ,Bug_fix
1604,thankz pickme taxi service...👍🚗🚗,taxi service thumb automobile ,Common
1605,awesome rides 👍👌👏,awesome thumb ok hand clap ,Feature Request
1606,Good service,good service ,Common
1607,But... Hi...Please UPDATE Pickme App To Set Home Location With Home Photo...Than Pickme Drivers Can Easily Find Out Our Home...,hi update app set home location photo easily find ,Common
1608,"Revised the review. So far going good but still customer service is useless! Who the hell refunds an amt and transfers into pickme points?!! If the rider doesn't deliver food for dunno what reason, u need to refund the money back - and that too immediately - not in 17 working days!",review far go good customer service useless hell amt rider deliver food reason need refund money immediately work day ,Common
1609,very nice,nice ,Common
1610,good,good ,Common
1611,worst experience in food delivery 👎👎👎👎👎👎👎👎👎👎👎👎,bad experience food delivery thumb ,Common
1612,no expeeriance,nan,Common
1613,awesome,awesome ,Common
1614,bike ride job,bike ride job ,Bug_fix
1615,good,good ,Common
1616,canot install to pickme food ride,install food ride ,Common
1617,good,good ,Common
1618,useful when in a rush and also when in a hunger ...it is safe to ride in their tuk tuks than in typical ones ..,useful rush hunger safe ride typical ,Bug_fix
1619,suresh,nan,Common
1620,app getting crashed when selecting the loaction and confirm.,app get confirm ,Common
1621,I hate this app very high cost,hate app high cost ,Common
1622,the best taxi app in sri lanka.,good taxi app sri ,Common
1623,good service,good service ,Common
1624,They are good drivers,good ,Common
1625,"best service so far. sure it's got a few issues but what is perfect today.. pickme should introduce ""return trips"" it saves a lot of conversation time with the drivers and will encourage them to accept the hire coz it's both ways",good service far sure get perfect today introduce return lot conversation time encourage accept hire coz way ,Common
1626,bad app,bad app ,Common
1627,superb,superb ,Common
1628,jl,nan,Common
1629,good,good ,Common
1630,good,good ,Common
1631,great,great ,Feature Request
1632,xf,nan,Common
1633,the Apple keeps crashing when I try to select a location which I have added to favourites,apple try select location add ,Feature Request
1634,User friendly interface.,user friendly interface ,Bug_fix
1635,awesome,awesome ,Common
1636,vry bad serv for food,bad food ,Common
1637,good,good ,Common
1638,good,good ,Common
1639,very good service,good service ,Common
1640,It SUCKS,nan,Common
1641,"There is a message coming up asking me to turn on ""Location""even though my location is ALWAYS turned on. I tired uninstalling and reinstalling the app, didn't work! this has been going on for more than a month now. i was hoping this may be a bug which could be fixed with a latest update. No luck so far.",message come turn location tired app work go month bug fix late update no luck far ,Bug_fix
1642,Perfect,perfect ,Bug_fix
1643,son of bich,son ,Bug_fix
1644,"Some times the actual price is higher than the given price range, so very unfair, last day i went on a three wheel when i booked, it showed Rs60-70. But when the trip finished it showed Rs 120 😡",time actual price higher give range unfair day go wheel book trip finish pouting face ,Bug_fix
1645,"I ordered food on pickme it's been 1 hour and 30 minutes since the order, no rider confirmed it nor did I get any call. When I called the hotline the answer is a rider has confirmed and will call. Still its showing as your order is cooking. Such a shame, this was my dinner order and they messed it, if they confirm the order tomorrow I am complaining and I will need compensation for the wastage of time and nuisance pick me has caused me. Such a shame, app is so full of bugs... Shame.",order food hour rider confirm answer show cook shame dinner tomorrow need compensation wastage time nuisance pick app ,Common
1646,good,good ,Common
1647,"Very difficuilt to find vechicles on Rainy Days , drivers switch OFF the phone 🤪 😠",find rainy day switch phone zany face angry ,Feature Request
1648,Good,good ,Common
1649,👍👍👍👍,thumbs thumb ,Bug_fix
1650,Need a separate app for FOOD. using the same app sucks since it takes too long to load and crashes often when we select the food tab 😬,need separate app food long load select tab grimace face ,Feature Request
1651,good,good ,Common
1652,Excellent....I love pick me,excellent love pick ,Common
1653,best app,best app ,Common
1654,"I have suggested in Twitter what more to do in here. but overall, good and appreciate this app.",twitter overall good appreciate app ,Common
1655,good service. thanks,good service thank ,Common
1656,awesome,awesome ,Common
1657,Ex,ex ,Bug_fix
1658,pick me taxi service is good but i don't know y my app always crashing and not responding. Automatically it stop. pls give me a solution to fix it,pick taxi service good know app automatically stop solution fix ,Common
1659,good,good ,Common
1660,good,good ,Common
1661,too slow.,slow ,Bug_fix
1662,super,super ,Bug_fix
1663,"our order was wrong and the food was really bad. when we complain, their reply was they are just platform provider, not reliable for missing items or bad quality food. i mean why do they take a platform if they aren't reliable. they can't even take care a customer. they should be reliable for the food they bring. its their duty to bring the right order. funniest part was after their reply they sent complaint has been closed without considering us. we can't even reply back. I donot recomend them.",order wrong food bad complain reply platform provider reliable miss quality mean care customer bring duty right send complaint close consider ,Common
1664,really bad,bad ,Common
1665,this app very good,app good ,Common
1666,worst,bad ,Common
1667,"Safe, but are you sure that this is 24hours?? Cuz I was searching for vehicles for more than one hour and it's an emergency, but there wasn't a single trishore available and I tried Buddy, but all drivers are far away..tbh I'm really disappointed.",safe sure hour search emergency single available try buddy far away disappoint ,Bug_fix
1668,good luck,good luck ,Common
1669,fabulous service,fabulous service ,Common
1670,👌,ok hand ,Bug_fix
1671,niyamai patta labai pickme...,patta ,Bug_fix
1672,xd,nan,Common
1673,PickMe food no way to contact driver,food way contact driver ,Common
1674,good,good ,Common
1675,😕😕😕 App eka download krana data aparade...... Service ekanm anthimai......,confused face app datum service ,Common
1676,better from the best,better good ,Common
1677,kinistan kini,nan,Common
1678,Superb service 👍👍👍,superb service thumb ,Common
1679,best,best ,Common
1680,m?mA............,ma ,Bug_fix
1681,N7265.app.goo.gl,app goo ,Common
1682,It is a good app for transportation,good app transportation ,Common
1683,"This app is helpful ,but unfortunately not all the time. I'm unable to depend on this for a vehicle at an urgent moment, because it always shows that there are NO VEHICLES! why is that happening most of the time?",app helpful unfortunately time unable depend vehicle urgent moment no happening ,Common
1684,good,good ,Common
1685,good service u r providing us,good service provide ,Common
1686,safe drive,safe drive ,Bug_fix
1687,good,good ,Common
1688,super,super ,Bug_fix
1689,superb app,superb app ,Common
1690,Not helping much. difficult to diagnose location right,not help difficult diagnose location right ,Bug_fix
1691,Crew crew crew 9 of,crew ,Bug_fix
1692,Careless people and unprofessional drivers are work with them you can go for cheep price with cheep experience. Not recommend at all.,careless people unprofessional work cheep price experience not recommend ,Common
1693,👍,thumbs ,Bug_fix
1694,"pick me funds terrorism in sl, don't use this",pick fund terrorism use ,Common
1695,PickMe the best. All other app are useless. Specially yogo,best app useless specially ,Common
1696,wow amazing services in srilanka,wow amazing ,Bug_fix
1697,app is good but need some options like customers comments when complaining about drivers because some reason are not matching with your options. and wrong roots when pickups. ( in some times your map's root cannot reach the exact location ) and latest issue is app is not loading some times saying not available in my region.,app good need like reason match wrong time map root reach exact location late issue loading say available region ,Bug_fix
1698,Awesome,awesome ,Common
1699,very useful,useful ,Bug_fix
1700,good,good ,Common
1701,waste of time,waste time ,Bug_fix
