,Reviews,KeyWords,text
219,not use ,"['not', 'use']",Please dont use pickme anymore.
220,talk late update show location ,"['talk', 'late', 'update', 'show', 'location']","Talking about PickMe foods, the latest update does not showing the biker's location."
221,zee add water ,"['zee', 'add', 'water']","r see we a zee£3#¥eisiiq Zuhu,def*I add Wessex Water my, a l 3 ,wW ZZ Dr df"
222,useful value money quick hassle driver comfortable thank ,"['useful', 'value', 'money', 'quick', 'hassle', 'driver', 'comfortable', 'thank']","very useful no trable value for money, very quick no hassle. no arrgive with driver so comfortable thank you"
223,don use service ,"['don', 'use', 'service']",Don't use muslim service use srigo
224,bad experience food service poor long delivery time not review person urgent cancel thumb ,"['bad', 'experience', 'food', 'service', 'poor', 'long', 'delivery', 'time', 'not', 'review', 'person', 'urgent', 'cancel', 'thumb']","worst experience. pickme food service is very very poor , they take long periuod of delivery time, cant review the delivery person & resturents, if any urgent we cant cancel the oders.👎👎👎"
225,comfortable speed level slow pick sri ,"['comfortable', 'speed', 'level', 'slow', 'pick', 'sri']",not comfortable speed level slow pick me is on sri lanka only it's not in out of Colombo
226,wait calculate stuck yo taxi journey distance ,"['wait', 'calculate', 'stuck', 'yo', 'taxi', 'journey', 'distance']","waiting calculated when we stuck on trafic,but yo go taxi only charged for our journey distance."
227,pick food slow order hour ,"['pick', 'food', 'slow', 'order', 'hour']",your pick me food is very slow I was ordered before one hour that's not delivered to me
228,present reasonable ,"['present', 'reasonable']",Present rates are reasonable.
229,area ,['area'],not delivering to minuwangoda area
230,app pretty good food delivery time find driver not cancel ready ,"['app', 'pretty', 'good', 'food', 'delivery', 'time', 'find', 'driver', 'not', 'cancel', 'ready']","the rides in this app is pretty good but food delivery is more frustrating...spends more time to find a driver..n cant even cancel the food delivery,even though the driver isn't ready..so frustrated"
231,pick food ,"['pick', 'food']",In negombo there is not pick me food
232,loyal like yer mnt help chang hope ur team lose good ,"['loyal', 'like', 'yer', 'mnt', 'help', 'chang', 'hope', 'ur', 'team', 'lose', 'good']",i hv been a loyal custmr 4 like 3yers nw. u give others discout and i hvnt recived any sms since 3mnts. please any 1 help me out. other than tis i will chang 2 uber. hope ur supprt team can undrsnd this. if not u just lost a good custmr
233,hi absolutely pick experience forget rate feedback soon drive try later find method provide solution trip thank great improve ,"['hi', 'absolutely', 'pick', 'experience', 'forget', 'rate', 'feedback', 'soon', 'drive', 'try', 'later', 'find', 'method', 'provide', 'solution', 'trip', 'thank', 'great', 'improve']","Hi! Absolutely enjoyed my pick me experience. However, I forget to rate or give feedback on drivers soon after the drive. When I try to give feedback later I don't find a method to do so. Please provide a solution. That is, a method to give feedback on drivers sometime after the trip. Thanks. PickMe is great. Keep improving. :)"
234,bad app update order food response cancel hour ,"['bad', 'app', 'update', 'order', 'food', 'response', 'cancel', 'hour']",worst app after the update. I ordered food but I didn't get any response from riders and I couldn't cancel my order also.I waited for 1 hour
235,unprofessional racism ,"['unprofessional', 'racism']",unprofessional drivers mostly because of racism and facism.
236,save money ,"['save', 'money']",uninstall to save my money
237,food delivery work ,"['food', 'delivery', 'work']",pickme food delivery services is not working for Malabe
238,good like update customer meter time use mode transportation pay large wait charge start get vehicle journey appreciate bring soon ,"['good', 'like', 'update', 'customer', 'meter', 'time', 'use', 'mode', 'transportation', 'pay', 'large', 'wait', 'charge', 'start', 'get', 'vehicle', 'journey', 'appreciate', 'bring', 'soon']",pickme is really good but I would like an update where you get an otp from the customer and then the meter starts because every time I use this mode of transportation I have to pay a large amount and the drivers say it is the waiting charge. how can they start their even before we've got into the vehicle and started our journey? I would really appreciate if you could bring in this update soon
239,funny charge people show price beginning trip don deceive bad app ,"['funny', 'charge', 'people', 'show', 'price', 'beginning', 'trip', 'don', 'deceive', 'bad', 'app']",It is so funny how you charge from people showing less estimated price at the beginning of the trip scheduling and keep adding amount when on the trip. Don't deceive people. Such a worst app when compared to uber.
240,worst app time need add fair fine price location pay driver ,"['worst', 'app', 'time', 'need', 'add', 'fair', 'fine', 'price', 'location', 'pay', 'driver']",worst app ever. if you have promotions every time need to add promo cords. fair is not fine. app shows a price to go to location. and after go there the app shows more than price to pay driver.
241,responsive user friendly ,"['responsive', 'user', 'friendly']",very responsive and user friendly
242,fantastic marvelous transportation app sri ,"['fantastic', 'marvelous', 'transportation', 'app', 'sri']","This is the fantastic,marvelous transportation app in Sri Lanka.."
243,make life easy touch vehicle door step ,"['make', 'life', 'easy', 'touch', 'vehicle', 'door', 'step']","making the life easy, touch of a botton vehicle at your door step within few minutes."
244,not need use kind telling meter count begin actually start answer poor maintenance remove useless ,"['not', 'need', 'use', 'kind', 'telling', 'meter', 'count', 'begin', 'actually', 'start', 'answer', 'poor', 'maintenance', 'remove', 'useless']","we dont need to use this kind of applications . you telling customers meter count begun on 60 Rs but actually counting starting on 70 Rs , anyone can give a resonable answer for it. very poor maintenance . srilanka shud remove this kind of useless apps"
245,poor service like garbage not use ,"['poor', 'service', 'like', 'garbage', 'not', 'use']","Very Poor Service , Like a Garbage . Dont use this..."
246,reserved money unwanted like ,"['reserved', 'money', 'unwanted', 'like']",they reserved money for unwanted things like pog.
247,come short waste time ,"['come', 'short', 'waste', 'time']",They won't be coming for short rides. Just a waste of time.
248,poor service price calculation ,"['poor', 'service', 'price', 'calculation']","poor service, erros in price calculation"
249,don use app treat ,"['don', 'use', 'app', 'treat']",Don't use this app. They don't treat customers well.
250,prefer come short distance confused face ,"['prefer', 'come', 'short', 'distance', 'confused', 'face']",drivers not prefer to come for short distances...They come up with various reasons to not to come for the short distance hires😕
251,high price suitable fro sri ,"['high', 'price', 'suitable', 'fro', 'sri']","high price, not suitable fro sri lankans,"
252,poor service company ,"['poor', 'service', 'company']",drivers are too badand very poor service from the company
253,price high unfair ,"['price', 'high', 'unfair']",price is very high and unfair
254,satisfied new improve location service ,"['satisfied', 'new', 'improve', 'location', 'service']",Satisfied with new features. Should improve the location service more
255,service disgusting ,"['service', 'disgusting']",service is really disgusting
256,stop bye app complex food truck think better example area unwanted process ,"['stop', 'bye', 'app', 'complex', 'food', 'truck', 'think', 'better', 'example', 'area', 'unwanted', 'process']","Stopped using this. bye. . . now the app is really complex, food, trucks are all in one app. sometimes it stucks. i think the app would be modularized, keep separated would be better. example : im not using pickme food (my area does not have pickme food) but app shows some unwanted process."
257,help university sure time leave service eventually ,"['help', 'university', 'sure', 'time', 'leave', 'service', 'eventually']",don't download this ! this is Muslim and they help to Sharia university. make sure that this is the time to leave this service and eventually move to Taxime service.
258,not use service ,"['not', 'use', 'service']",dont use. this service. terrorists
259,unfair untrusted hide cost waiting not use ,"['unfair', 'untrusted', 'hide', 'cost', 'waiting', 'not', 'use']",very unfair aplication.peopls untrusted.hide cost for waiting .dont use anyone
260,service better pick ,"['service', 'better', 'pick']",This service is sucks..uber is better than pick me.
261,high ,['high'],High prices . Download Tripmo
262,charge high cost ,"['charge', 'high', 'cost']",always charge higher than estimated cost.
263,not use ,"['not', 'use']",I dont use any more....
264,poor service company treat prefer ,"['poor', 'service', 'company', 'treat', 'prefer']",very poor service. and this company doesn't even treat their drivers well. I Prefer YOGO
265,bad taxi see charge extra bring stall pick tell driver date time inform people like hand ,"['bad', 'taxi', 'see', 'charge', 'extra', 'bring', 'stall', 'pick', 'tell', 'driver', 'date', 'time', 'inform', 'people', 'like', 'hand']",one of the worst taxi services i have ever seen.. drivers charge rs.50 extra for the things we bring from any stall... and they say that you(pick me) have only told them to take so.... driver name kumar... Date 3/5/2019... time 12:30.... please inform the people if you are doing anything like this before hand.
266,company sri ,"['company', 'sri']",isis company of Sri Lanka
267,use well ,"['use', 'well']",use uber its better than pickme
268,price show handbill flat range ,"['price', 'show', 'handbill', 'flat', 'range']",The price shown on the handbill is flat or its range?
269,driver access cancel trip customer waiting ,"['driver', 'access', 'cancel', 'trip', 'customer', 'waiting']","Driver access to cancel the trip when customer is waiting, must be controlled."
270,use waste time money charge ,"['use', 'waste', 'time', 'money', 'charge']",please don't use this it is waste of time and money always charge more
271,app high unprofessional unethical long route destination increase price rider ,"['app', 'high', 'unprofessional', 'unethical', 'long', 'route', 'destination', 'increase', 'price', 'rider']",The app is ok. Charges are high. Drivers are unprofessional and unethical. Pickme drivers will take a longer route to the destination so they they can increase the price charged to the rider.
272,code ,['code'],what the *************** promo code
273,maintain pick food delivery ,"['maintain', 'pick', 'food', 'delivery']",please maintain a pick me food delivery in Habarana
274,application frequently complicate app show wrong time ,"['application', 'app', 'frequently', 'complicate', 'show', 'wrong', 'time']",The application is updated too frequently and is complicated .Due to this I did not have the app for 3 months .Also the locations shown are wrong most of the time
275,pick take money book car vehicle ,"['pick', 'take', 'money', 'book', 'car', 'vehicle']",pick me is taking too much money when we book a car or any vehicle
276,ma trip eke charge mage ora ,"['ma', 'trip', 'eke', 'charge', 'mage', 'ora']",Ma Ena Gaana Oru Inne Trip Eke Charge Eka 260.00 Mage Gfva Bussala Eyata Salli Dhunnama Ora Thakkadiya 100k Wediyen Illagana
277,optional force brand new ample memory elderly simple upgrade difficult use app appreciate lite version people choose ,"['optional', 'force', 'brand', 'new', 'ample', 'memory', 'elderly', 'simple', 'upgrade', 'difficult', 'use', 'app', 'appreciate', 'lite', 'version', 'people', 'choose']",updates should be optional.... you are forcing to do it.... not all users have brand new phones with ample memory. and elderly users are used to simple settings ... upgrade make it difficult to use the app... would appreciate if you could have a Lite App and another version with all gimmicks so people could choose.
278,inconvenient pick ,"['inconvenient', 'pick']",this is so inconvenient. what happened to pick me?
279,high prize user ,"['high', 'prize', 'user']",high prize so I changed user. .it has lowest prizes and fastest
280,come car ,"['come', 'car']",go and come car full
281,add real map time work tired face ,"['add', 'real', 'map', 'time', 'work', 'tired', 'face']",Please add the real map.. some times not working to this...😫😫😫😫😫
282,good app people sri come transportation ,"['good', 'app', 'people', 'sri', 'come', 'transportation']",it is a good app which helps the people in sri lanka when coming to the transportation side
283,not feedback form trip ,"['not', 'feedback', 'form', 'trip']",i didnt recieve feedback form of last trip
284,great app add high way ,"['great', 'app', 'add', 'high', 'way']",great app. please add high way charges in the app
285,show location correctly ,"['show', 'location', 'correctly']",not showing the location correctly
286,food deliver say order big disappointing response ,"['food', 'deliver', 'say', 'order', 'big', 'disappointing', 'response']",PickMe Food Sucks! The drivers refused to deliver saying that the order is big. Disappointing response from the drivers.
287,find food super easy thank make eat enjoyable white medium star ,"['find', 'food', 'super', 'easy', 'thank', 'make', 'eat', 'enjoyable', 'white', 'medium', 'star']",once finding food has been a supre hazzle and you made it super easy. thank you for making eating enjoyable ⭐
288,use ,['use'],It is very convienience to use
289,location pick ,"['location', 'pick']",im at rajagiriya .location picked somewhere medirigiriya
290,happy service provide improve thank ,"['happy', 'service', 'provide', 'improve', 'thank']",very happy with the service provide. drivers should improve their attitudes more. Thanks pickme
291,excellent suggestion add new like multiple location select custom route wait time fix zoom bug map ,"['excellent', 'suggestion', 'add', 'new', 'like', 'multiple', 'location', 'select', 'custom', 'route', 'wait', 'time', 'fix', 'zoom', 'bug', 'map']","Excellent.my suggestion is add new features like : multiple location select, custom route select, if add multiple location adding also custom waiting time select....fix zoom bug on map"
292,force app like night book open update late version barely data stupid policy wait long time bus arrive ,"['force', 'app', 'like', 'night', 'book', 'open', 'update', 'late', 'version', 'barely', 'data', 'stupid', 'policy', 'wait', 'long', 'time', 'bus', 'arrive']","You have to be kidding me, forcing updates on an app like this. Last night i needed to book a tuk but when i open the it says update to latest version. I barely had data to book a tuk but bcz of your stupid update policy i had to wait a long time until a bus arrive"
293,use distance short follow road map experience bad today morning look matter good competitive app ,"['use', 'distance', 'short', 'follow', 'road', 'map', 'experience', 'bad', 'today', 'morning', 'look', 'matter', 'good', 'competitive', 'app']","Sometimes Drivers use more distance roads, even when there is short roads. They don't follow the road that shows in map. I experienced that bad experience in today morning. So, if you look into this matter, this will be really good and competitive app than other apps."
294,space need ,"['space', 'need']",too much space need
295,good travel easy use ,"['good', 'travel', 'easy', 'use']",it's good for traveling and easy to use ect
296,app use payment method default future card cash automatically trip ,"['app', 'use', 'payment', 'method', 'default', 'future', 'card', 'cash', 'automatically', 'trip']",Why can't the App use the last payment method I used by default for all the future trips? I always use the Card for payments but the App sometimes defaults to Cash automatically for the next trip. Sometimes I only realise this when the trip ends.
297,rapid response availability exceptional competent convenient ,"['rapid', 'response', 'availability', 'exceptional', 'competent', 'convenient']",Rapid response. Availability is exceptional. Most drivers are competent. And above all so convenient.
298,inform user vehicle moment book ahead option specially pick ,"['inform', 'user', 'vehicle', 'moment', 'book', 'ahead', 'option', 'specially', 'pick']",Please inform the user if you guys don't have a vehicle beforehand until the last moment to book a vehicle ahead. We don't have no option to book another vehicle at the last moment specially aiport drops and pick ups.
299,charge book driver way sudden trip money credit card not taxi company bother lose time use need add screen shot ,"['charge', 'book', 'driver', 'way', 'sudden', 'trip', 'money', 'credit', 'card', 'not', 'taxi', 'company', 'bother', 'lose', 'time', 'use', 'need', 'add', 'screen', 'shot']",charge for trips you ve nvr been.once i booked a pickme.driver was on the way and all of a sudden he cancelled the trip and money was charged from my credit card .i didnt even see the taxi.i complained this to the pickme company but didnt seemed to bother.lost money and my time both on the.never gonna use this again.please be carefull when using credit card.they charge u for nothing.i need to add an screen shot too but here i cant.
300,pick convenient usually meet polite friendly user app ,"['pick', 'convenient', 'usually', 'meet', 'polite', 'friendly', 'user', 'app']",I always pick PickMe because it's so convenient. I usually met polite and friendly drivers. Also user friendly app.
301,train talk ,"['train', 'talk']",drivers should be train to how to talk with peoples
302,thank kind consideration ,"['thank', 'kind', 'consideration']",thank for your kind consideration
303,fantastic app easy use accurate ,"['fantastic', 'app', 'easy', 'use', 'accurate']",A Fantastic App. Very easy2use &Accurate
304,overall functional location finder passenger locator ,"['overall', 'functional', 'location', 'finder', 'passenger', 'locator']",Overall it is functional but the GPS location finder and passenger locator has to be much improved.
305,good app easy valuable price helpful little disadvantage driver bit time reach ,"['good', 'app', 'easy', 'valuable', 'price', 'helpful', 'little', 'disadvantage', 'driver', 'bit', 'time', 'reach']",its good app which we can easy to go anywhere for a valuable price .the drivers are so helpful.there is little more disadvantage .it is the driver takes a bit of time to reach us.
306,need add ,"['need', 'add']",Need to add more Tuk Tuks
307,mole driver wa na ape karma obe ,"['mole', 'driver', 'wa', 'na', 'ape', 'karma', 'obe']",api mole tiyana minsunam driver wa baldu karanne na driver kiyanne ape jivitha baragena gamana yana kenata eyalata sadarana karma wedayak denna one apita aduwata yanna obe kiyalla e minisunge whane winasa karanna narakai hamoma minssu.
308,good app service need improve ,"['good', 'app', 'service', 'need', 'improve']",good app & service. needs to improve
309,money steal travel service high ,"['money', 'steal', 'travel', 'service', 'high']",This is a money stealing traveling service from passengers and drivers.. charges are high..
310,improve coverage ,"['improve', 'coverage']",more to improve such as coverage
311,extra charge risk un safe ,"['extra', 'charge', 'risk', 'un', 'safe']",extra charge no risk un safe Drivers
312,get better allow access easy time book hurry not bad want later star giving option ,"['get', 'better', 'allow', 'access', 'easy', 'time', 'book', 'hurry', 'not', 'bad', 'want', 'later', 'star', 'giving', 'option']",Getting better but if they can allow us to access to the trips we completed that would be easy for us to give stars to the drivers. Because most of the time we book in a hurry so we don't give stars. Not because they are bad but we are in a hurry. I often want to have later access to the star giving option.
313,unfair company ,"['unfair', 'company']",Unfair Company for drivers
314,happy cancel request ,"['happy', 'cancel', 'request']",I was not happy when drivers cancelled they can't cancel our request
315,bad service not time waste fu driver come location miss flight app ,"['bad', 'service', 'not', 'time', 'waste', 'fu', 'driver', 'come', 'location', 'miss', 'flight', 'app']",worst coustermer service..dont download this..time wasting...fu#k service...driver refuce to come my location...finaly I miss my flight....don download this app...its wasted...
316,find app need new ,"['find', 'app', 'need', 'new']",Never found an app that has more bugs than this. You guys need new developers
317,good times location show pick differently ,"['good', 'times', 'location', 'show', 'pick', 'differently']","Good, some times location showing of pick up location and drivers location differently"
318,bad service like ,"['bad', 'service', 'like']",this is bad service. i don't like this
319,sri road allan avenue ,"['sri', 'road', 'allan', 'avenue']",M.M.Fazly 9/2 sri medankara road off allan avenue dehiwella
320,far like mention food not easily depart irritate disturbing issue ,"['far', 'like', 'mention', 'food', 'not', 'easily', 'depart', 'irritate', 'disturbing', 'issue']",I so far had no issues with pickmefood but now I would like to mention that the food doesnt get easily departed on fridays which is a very irritating and a disturbing issue.
321,good driver come ,"['good', 'driver', 'come']",Good sometime the driver will not come
322,disrespectful reach destination inform passenger willing route want tend threaten feedback general need train nice polite ,"['disrespectful', 'reach', 'destination', 'inform', 'passenger', 'willing', 'route', 'want', 'tend', 'threaten', 'feedback', 'general', 'need', 'train', 'nice', 'polite']",very disrespectful drivers. They don't even call when they reach the destination to inform the passenger. They are not willing to take the route we want them to take. They tend to threaten the clients. This feedback is in general as 99% of yours drivers need to be trained to be nice and polite to their passengers.
323,like take big ,"['like', 'take', 'big']",I like the updated UI but the texts took a but too big.
324,not like company bad ,"['not', 'like', 'company', 'bad']",i dont like this company v bad company
325,chitin company ,"['chitin', 'company']",very very chitin company
326,use cab service ,"['use', 'cab', 'service']",very use full cab service..
327,bad service price time ,"['bad', 'service', 'price', 'time']",bad service unusiul price no vehical on time
328,add option send taxi ,"['add', 'option', 'send', 'taxi']",Add a option that you can send a taxi to someone.
329,app force update use bad need taxi emergency ,"['app', 'force', 'update', 'use', 'bad', 'need', 'taxi', 'emergency']",This app force you to update it otherwise you can't use it. Very bad if need taxi for an emergency!
330,bad ride app hover not find location map ,"['bad', 'ride', 'app', 'hover', 'not', 'find', 'location', 'map']",one of the worse riding app. still one hover i cant find my location but google map find it in 30 seconds.
331,add location map save app open ,"['add', 'location', 'map', 'save', 'app', 'open']",I cannot add my location via the map or saved locations.app doesn't open afterwards.
332,good try book weel no city ,"['good', 'try', 'book', 'weel', 'no', 'city']","everything is good and cheaper. but please put more three weels to hikkaduwa, EVERYTIME I TRY TO BOOK A WEEL , IT SAYS **NO VEHICLES** .please put some more vehicles to hikkaduwa city"
333,option book multiple ,"['option', 'book', 'multiple']",Could we have a option to book multiple vehicles at once
334,easy pick ,"['easy', 'pick']",easy to pick up
335,try use finally find waste time ,"['try', 'use', 'finally', 'find', 'waste', 'time']",I tried to use this for to get a tuk tuk .finally I found one without this.It wasted my time
336,send applicable food ,"['send', 'applicable', 'food']",Why the promotions u are sending is not applicable for food
337,easy charge wait fuss stop bit like ,"['easy', 'charge', 'wait', 'fuss', 'stop', 'bit', 'like']","so easy. because they charge for waiting, drivers don't fuss when we stop for a bit like they do in uber"
338,need find food hamburger french fry fork knife come nearby help fire cool safe use great sri lanka new development travel taxi rating trade mark white medium star suggest thank thumb ,"['hamburger', 'french', 'fry', 'fork', 'knife', 'nearby', 'help', 'fire', 'cool', 'safe', 'lanka', 'development', 'rating', 'trade', 'mark', 'white', 'medium', 'star', 'suggest', 'thumb']","Needs improvements ! Finding Pickme food🍔🍟🍴 isn't coming ! its shows 0 restaurants nearby ! Please help me with it , but however 🔥is cool & safe to use ! It is great in Sri Lanka 🇱🇰 & a new development in travel 🚕 I'm rating Pickme™ 5⭐ ! I suggest this for everyone & thanks Pickme developers 👍"
339,time waste update ,"['time', 'waste', 'update']",time wasting on update...
340,comfortable use ,"['comfortable', 'use']",really comfortable to use
341,quality service time accurate happy ,"['quality', 'service', 'time', 'accurate', 'happy']","Quality,Service and time is ve much accurate and I am so happy about PickMe."
342,know actual route good ,"['know', 'actual', 'route', 'good']",some of the drivers doesn't know the actual route but still good
343,easy find taxi ,"['easy', 'find', 'taxi']",very easy to find taxi
344,think add service ,"['think', 'add', 'service']",I think u should add more mini vans to your service
345,good add food list ,"['good', 'add', 'food', 'list']",good..keep it up. plase add more singala food shops for your list.it will be more customised.
346,pick food bug order ,"['pick', 'food', 'bug', 'order']",pick me food is having a biiiiig bug can't order
347,want upgrade ,"['want', 'upgrade']",don't want to upgrade
348,annoying ,['annoying'],this is annoying. .always asking for updating.
349,bad ask remove app need revolutionary wait traffic jam charge advance ,"['bad', 'ask', 'remove', 'app', 'need', 'revolutionary', 'wait', 'traffic', 'jam', 'charge', 'advance']",Very bad. ask to remove uber app.Need revolutionary changes.without waiting & traffic jam charging waiting charges. competitors more advance. Never responding to complains.
350,like ,['like'],very much like it
351,disappointment final movement cancellation ,"['disappointment', 'final', 'movement', 'cancellation']",very disappointment. final movement cancellation.
352,perfect transportation app reasonable accept short far away book booking ,"['perfect', 'transportation', 'app', 'reasonable', 'accept', 'short', 'far', 'away', 'book', 'booking']",perfect transportation app. reasonable prices.. But drivers don't accept short drives. Drivers from far away accepts the booking and most cancels the booking
353,half way ride driver say app jam work price go high reach destination ur rate cheat smart careful ,"['half', 'way', 'ride', 'driver', 'say', 'app', 'jam', 'work', 'price', 'go', 'high', 'reach', 'destination', 'ur', 'rate', 'cheat', 'smart', 'careful']",half way on the ride . .driver saying hes pickme app jam.or not working . then he shows the price 300rs gone high once u reach destination with ur normel rate ..this is most drivers cheat on smart tricks be careful folks ..
354,peak time app stick ,"['peak', 'time', 'app', 'stick']",peak times app stuck
355,polite time harsh ,"['polite', 'time', 'harsh']",drivers are not polite and some times harsh
356,pick food service terrible try order guy take cancel nd go restaurant say item poor thumb ,"['pick', 'food', 'service', 'terrible', 'try', 'order', 'guy', 'take', 'cancel', 'nd', 'go', 'restaurant', 'say', 'item', 'poor', 'thumb']",pick me food service is terrible. I've been trying to order and the guy who took order aksed me to cancel it. then the 2nd guy who took my order went to the restaurant and said the item i have ordered is not there. asked me to cancel again. very poor service👎👎
357,app interface fine location awful try order taxi pin way far actually pick step game hope rate ya look forward future ,"['interface', 'fine', 'location', 'awful', 'try', 'order', 'taxi', 'pin', 'way', 'far', 'actually', 'pick', 'step', 'game', 'hope', 'rate', 'ya', 'look', 'forward', 'future']","The app's interface is fine but the location tracking is awful.. sometimes when trying to order a taxi, my location is pinned way far from where i'm actually located... Pick me you've gotta step up your game.. I hoped i could've rate ya'll more but 1 stars all you get from me.. Do look forward to the future updates"
358,need allow option know go urgent ride good ,"['need', 'allow', 'option', 'know', 'go', 'urgent', 'ride', 'good']",You need to allow the option of using this while on updating too..u nvr know what is going on how urgent the ride is ok? not good !!!!
359,try pick bike ,"['try', 'pick', 'bike']",but try to xpan the pick me bike services
360,need improvement location live ,"['need', 'improvement', 'location', 'live']",Needs improvement in location findings and live tracking
361,easy use app ,"['easy', 'use', 'app']",i had few hires . its verey easy to use the app.
362,allow setup verification ,"['allow', 'setup', 'verification']",wouldn't allow setup. no sms or call verification.
363,good especially care not trip ,"['good', 'especially', 'care', 'not', 'trip']",mostly not good especially tuk drivers they do not care about u dont even cansal the trip just go ingnoring u
364,year happy ,"['year', 'happy']",3 year's &so happy
365,need add multiple ,"['need', 'add', 'multiple']",need to add multiple destinations
366,booking cab time window set include ,"['booking', 'cab', 'time', 'window', 'set', 'include']",can youll make the booking a cab time window set for earlier... and include it for tuks as well
367,add option save easy mention pickup address drop ,"['add', 'option', 'save', 'easy', 'mention', 'pickup', 'address', 'drop']",please add an option to save and keep places those will be easy to mention pickup address and drop address
368,stop petrol way wait add app stick constantly ,"['stop', 'petrol', 'way', 'wait', 'add', 'app', 'stick', 'constantly']",Your drivers stop for petrol on the way and waiting charges get added. Your app gets stuck on your drivers phones constantly!
369,horrendous complaint review poor service overall ,"['horrendous', 'complaint', 'review', 'poor', 'service', 'overall']",Horrendous complaint review and poor service overall.
370,say far ,"['say', 'far']",drivers always saying they are too far
371,good way city ,"['good', 'way', 'city']",Best way to get around in Colombo city
372,not know bad driver good stick road easily find meter taxi come exact location nicely actually sure yo destination will fare apart friendly app easy use clear book ,"['know', 'bad', 'stick', 'road', 'easily', 'find', 'meter', 'come', 'exact', 'nicely', 'actually', 'sure', 'yo', 'destination', 'will', 'fare', 'apart', 'friendly', 'easy', 'clear']","I dont know why there are bad reviews for this because i had a bad driver only once. For me the best part of this is sometimes when we are stuck at the road and cant easily find a meter taxi the taxi driver comes to the exact location nicely. And when we go somewhere we are actually not sure how yo go, jjst give the destination and theyll take you there with the lowest fare. And apart from once , I have had very friendly drivers. The app is very easy to use and it gives clear steps on how to book"
373,fix fare like extremely long charge extra price ,"['fix', 'fare', 'like', 'extremely', 'long', 'charge', 'extra', 'price']",should have a fixed fare like Uber because some drivers take extremely long routes and charge about 150 extra rupees than the estimated price.
374,good service law cost add vehicle app ,"['good', 'service', 'law', 'cost', 'add', 'vehicle', 'app']",good service and law cost how to add my vehicle for this app?
375,disappointing ur service vehicle transfer location company trust situation ,"['disappointing', 'ur', 'service', 'vehicle', 'transfer', 'location', 'company', 'trust', 'situation']",I'm very disappointing about ur service. I'm reqested another vehicle and it was transfer to the another location from company. How can we trust ur service in criticle situation.
376,thank app help reasonable price ,"['thank', 'app', 'help', 'reasonable', 'price']",thank you so much for your app. Its very help to go anywhere in colombo in reasonable price
377,app company care customer terrible ignore short rainy day accept trip pickup let know waste time ask turn meter device teach job shut service ,"['company', 'care', 'customer', 'terrible', 'ignore', 'short', 'rainy', 'day', 'accept', 'pickup', 'let', 'know', 'waste', 'ask', 'turn', 'meter', 'device', 'teach', 'job', 'shut']","This isn't about the App but Company who don't care about the customer complaints. Terrible tuk tuk drivers(not everyone but who i made compains about). They ignore short trips and trips in rainy days. Sometimes accept the trip and never pickup or never let us know about it (waste of time). Every time ask ""where to go"" or ""may i turn on the meter"" from where he is. Sometimes turn off the device once after they accept the trip. Teach the drivers how to do their job or just shut the service."
378,food show ,"['food', 'show']",why pickme food resturents are not showing.. just 2 resturents only
379,food value king restaurant driver take bill say throw away thrust like pick irresponsible twice tell matter feedback quickly attach differ ,"['food', 'value', 'king', 'restaurant', 'driver', 'take', 'bill', 'say', 'throw', 'away', 'thrust', 'like', 'irresponsible', 'twice', 'tell', 'matter', 'feedback', 'quickly', 'attach', 'differ']","I had oder food a value of 740 from the burger king restaurant and the driver had took 760 from me And when I asked for the bill he said that he throw it away So how can I thrust a driver like that I don't reccomand pick me foods to any one because drivers are very irresponsible And I had called your call centre twice and tell about the matter and no one give me a feedback. Give me a feedback quickly I 'll attach screenshot of the bill ,your bill valu differ don't by food from pick me"
380,cab aggregator driver cheat tourist book fort station lion city close trip twice course time say highway route pay toll extra raise complaint provide solution bunch run company ,"['cab', 'aggregator', 'cheat', 'tourist', 'fort', 'station', 'lion', 'city', 'close', 'twice', 'course', 'highway', 'route', 'toll', 'extra', 'raise', 'complaint', 'solution', 'bunch', 'run']","This Cab aggregator and driver cheat tourist! I booked a cab from Fort Station to Lion city and driver closed the trip twice during the course of trip and made me book again. For last time, he said he will take me in highway and deviated thr route and made me to pay the toll even when he said there are no extra charges. When i raised a complaint my complaint was closed without providing any solution. bunch of cheats running this company."
381,track user friendly ,"['track', 'user', 'friendly']",can't track when I go with pickme and pickme foods not user friendly.
382,actually time courteous reasonable rate prefer safety thank give service nation ,"['actually', 'time', 'courteous', 'reasonable', 'rate', 'prefer', 'safety', 'thank', 'give', 'service', 'nation']",actually the drivers are on time. They are courteous and on reasonable rate. on top of that I prefer the safety very much. Thank you very much for giving such a service to our nation.
383,wast app use person address correct rate ,"['wast', 'app', 'use', 'person', 'address', 'correct', 'rate']",Wast app ever I use. A one person should have only one email this app is asking more email address to acsses pls make this correct then I will rate u 5 stars
384,bad shout trip short distance ,"['bad', 'shout', 'trip', 'short', 'distance']",Drivers are very bad they shout at customers if the trip is only a short distance one
385,book vehicle near ,"['book', 'vehicle', 'near']",NOW I CAN BOOK A VEHICLE NEAR ME
